,t,d^2 (mm^2),,t,dflame (mm),,time ,Q (W),time ,Q (W),,Model,t,d^2 (mm^2),dflame (mm),,Model,t,Q (W)
EXP,0.043245302,16.2372052,,0.035489614,12.77822469,,0.203228798,13.95494714,0.4063494,2.743933661,,1 atm,0,16,79.7148801,,1 atm,0,5.68291E-05
,6.383443001,14.94100647,,0.80130089,14.44360728,,0.70994834,15.05114539,0.823049585,3.423753315,,do 4 mm,0,16,79.7148801,,do 4mm,0,5.68291E-05
,7.01754212,14.76397895,,1.400147181,19.14021561,,1.44929002,16.40967011,1.523945497,3.899284736,,1 atm,1E-10,16,79.7148801,,Radiance,1E-10,5.68291E-05
,7.722162821,14.52777531,,1.965578635,19.3319775,,1.959543976,17.14251235,2.035209285,4.528310979,,,3E-10,16,79.7148801,,,3E-10,5.68291E-05
,8.356460313,14.23222865,,2.671985757,19.61763756,,2.561332038,18.13600918,2.59451225,5.054078516,,,7E-10,16,79.7148801,,,7E-10,5.68291E-05
,9.060981827,14.05528459,,3.367691395,21.19011336,,3.16715943,18.71424202,3.248883735,5.477144641,,,1.5E-09,16,79.7148801,,,1.5E-09,5.68291E-05
,9.695279319,13.75973792,,4.002464095,21.56669745,,3.77197699,19.39629085,3.856225876,5.899653472,,,2.3E-09,16,79.7148801,,,3.1E-09,5.68291E-05
,10.39980083,13.58279386,,4.703520475,22.49576538,,4.283240778,20.02531709,4.69972457,6.221132774,,,3.9E-09,16,79.7148801,,,6.3E-09,5.68291E-05
,11.03409833,13.28724719,,5.26512997,23.14710431,,4.985146524,20.39703251,5.495689003,6.593962783,,,5.5E-09,16,79.7148801,,,9.5E-09,5.68291E-05
,11.73881821,12.99178399,,5.971537092,23.43276437,,5.499944726,20.66270275,6.057011633,6.912098318,,,8.7E-09,16,79.7148801,,,1.27E-08,5.68291E-05
,12.37301652,12.7554969,,6.677944214,23.71842444,,6.156840792,20.82622888,6.665363606,7.230791149,,,1.19E-08,16,79.7148801,,,1.91E-08,5.68291E-05
,13.07763722,12.51929327,,7.381293769,24.37174614,,6.718668338,21.09245641,7.604940653,7.345753039,,,1.83E-08,16,79.7148801,,,2.55E-08,5.68291E-05
