Experiment,Pressure,Kavg_CF,,Model,Pressure,kb (mm2/s)
,0.5,0.315175121,,,5,0.5012
,0.5,0.315175121,,,3,0.48689
,0.5,0.329710005,,,1.25,0.471387695
,0.5,0.332616982,,,1,0.447921
,0.75,0.369273871,,,0.75,0.4078
,1,0.365233085,,,0.5,0.37396
,1,0.383838614,,,,
,1,0.390233085,,,,
,1,0.401281353,,,,
,1,0.407675824,,,,
,1.25,0.404795194,,,,
,1.25,0.407121654,,,,
,1.25,0.431540259,,,,
,1.25,0.431540259,,,,
,2,0.457207721,,,,
,3,0.445111712,,,,
,3,0.493367526,,,,
,5,0.501739795,,,,
,5,0.527320312,,,,
