,time ,Radiance (W),time,df (mm),,,,time ,Radiance (W),time,df (mm),,,Simulation,,time (s),Q(W),,Simulation,time (s),Q (W),,,Simulation,Time(sec),Dflame (mm),,Simulation ,Time(sec),Dflame (mm),,,Simulation,Time(sec),T_max(K),,Simulation,Time(sec),T_max(K)
0.5 atm,0,17.13271608,0.041884817,22.18673219,,,5 atm,0.031897725,7.897883638,0.083769634,7.997542998,,,Radiance,0.5 atm,0,0,,Radiance 5 atm,0,8.93155E-07,,,Flame Diameter 0.5 atm,0,100.34775,,Flame Diameter 5 atm,0,100.34775,,,Tmax 0.5 atm,0,2400,,Tmax 5 atm,0,2400
do 4.46 mm,0.981518423,20.2458781,0.376963351,23.21867322,,,do 4.48 mm,0.994070514,10.40617403,0.335078534,7.30958231,,,,,0,0,,,2.75E-10,8.93155E-07,,,,0,100.34775,,,0,100.34775,,,,0,2400,,,0,2400
,1.985993959,22.49545533,0.712041885,23.3046683,,,,2.039857842,13.17385685,0.544502618,6.965601966,,,,,1E-10,0.47023868,,,8.25E-10,8.93155E-07,,,,1E-10,100.34775,,,1E-10,100.34775,,,,1E-10,2400,,,1E-10,2400
,2.949488021,23.96798739,0.963350785,20.98280098,,,,0.192960865,13.25020734,1.256544503,9.545454545,,,,,3E-10,0.56190087,,,1.925E-09,8.93155E-07,,,,3E-10,100.34775,,,3E-10,100.34775,,,,3E-10,2399.99,,,3E-10,2400
,3.95638589,24.31867437,1.42408377,22.78869779,,,,3.001810419,15.85477362,1.633507853,10.40540541,,,,,5.47E-10,0.619364194,,,4.125E-09,8.93155E-07,,,,5.46826E-10,100.34775,,,7E-10,100.34775,,,,5.46826E-10,2399.99,,,7E-10,2400
,4.963724183,24.32410856,1.884816754,24.16461916,,,,3.001810419,15.85477362,1.968586387,11.17936118,,,,,7.94E-10,0.657929338,,,8.525E-09,8.93155E-07,,,,7.93652E-10,100.34775,,,1.1E-09,100.34775,,,,7.93652E-10,2399.99,,,1.1E-09,2400
,5.970732158,24.58848234,2.471204188,25.36855037,,,,4.006065743,18.27697724,2.303664921,9.287469287,,,,,1.04E-09,0.687352401,,,1.7325E-08,1.39581E-06,,,,1.04048E-09,100.34775,,,1.9E-09,100.34775,,,,1.04048E-09,2399.98,,,1.9E-09,2400
,6.978510876,24.24866377,3.183246073,26.65847666,,,,4.968348638,20.69895443,2.345549738,10.57739558,,,,,1.53E-09,0.731740058,,,3.4925E-08,5.64858E-07,,,,1.53413E-09,100.34775,,,3.5E-09,100.34775,,,,1.53413E-09,2399.98,,,3.5E-09,2400
,8.95187567,23.74142658,3.895287958,27.43243243,,,,5.973705022,22.25802612,2.345549738,11.95331695,,,,,2.03E-09,0.766061184,,,7.0125E-08,4.40451E-07,,,,2.02778E-09,100.34775,,,6.7E-09,100.34775,,,,2.02778E-09,2399.98,,,6.7E-09,2400
,10.97249798,19.09138252,4.481675393,28.12039312,,,,7.021694472,23.29944506,2.345549738,11.95331695,,,,,3.02E-09,0.817010193,,,1.40525E-07,1.22522E-08,,,,3.01509E-09,100.3473,,,1.31E-08,100.34775,,,,3.01509E-09,2399.98,,,1.31E-08,2400
