Time(sec),Diameter(mm),K(mm^2/sec),T_max(K),D_Tmax/D_drop,D_OHm/D_drop,(D/Do)2
0,0.5,-3.21E-02,600,20.2494,1,1
1.00E-10,0.5,-3.21E-02,600,20.2494,6.96652,1
3.00E-10,0.5,-3.21E-02,600,20.2494,6.96669,1
7.00E-10,0.5,-3.21E-02,600,20.2494,6.96773,1
1.50E-09,0.5,-3.21E-02,600,20.2494,6.96947,1
3.10E-09,0.5,-3.21E-02,600,20.2494,6.97287,1
6.30E-09,0.5,-3.21E-02,600,20.2494,6.97962,1
1.27E-08,0.5,-3.21E-02,599.999,20.2494,6.99298,1
2.55E-08,0.5,-3.21E-02,599.999,20.2494,7.01918,1
5.11E-08,0.5,-3.21E-02,599.997,20.2493,7.06972,1
1.02E-07,0.5,-3.21E-02,599.995,20.2492,7.16407,1
2.05E-07,0.5,-3.21E-02,599.989,20.2491,7.35004,1
4.10E-07,0.5,-3.20E-02,599.978,20.2488,7.67317,1
8.19E-07,0.5,-3.19E-02,599.958,20.2481,8.20858,1
1.64E-06,0.5,-3.17E-02,599.919,20.2469,9.00047,1
3.28E-06,0.5,-3.14E-02,599.85,20.2444,10.028,1
4.92E-06,0.5,-3.11E-02,599.788,20.2419,10.6478,1
8.19E-06,0.5,-3.06E-02,599.682,20.237,11.5131,1
1.15E-05,0.5,-3.02E-02,599.61,20.2018,12.059,1
1.47E-05,0.5,-2.99E-02,599.654,20.0643,12.4449,1
2.13E-05,0.500001,-2.93E-02,599.752,19.909,12.9154,1
2.79E-05,0.500001,-2.89E-02,599.852,19.8212,13.2162,1
4.10E-05,0.500001,-2.81E-02,600.049,19.7228,13.5619,1
5.41E-05,0.500002,-2.75E-02,600.239,19.6655,13.803,1
6.72E-05,0.500002,-2.70E-02,600.423,19.6259,13.9942,1
9.34E-05,0.500003,-2.61E-02,600.774,19.5713,14.3075,1
1.20E-04,0.500003,-2.54E-02,601.102,19.5311,14.5484,1
1.72E-04,0.500005,-2.43E-02,602.007,19.2486,14.8928,1
2.19E-04,0.500006,-2.36E-02,602.856,19.089,15.1005,1
2.66E-04,0.500007,-2.30E-02,603.701,18.9844,15.2385,1
3.14E-04,0.500008,-2.25E-02,604.542,18.9067,15.3208,1
3.61E-04,0.500009,-2.20E-02,605.383,18.8434,15.3683,1
4.55E-04,0.500011,-2.13E-02,607.358,18.562,15.3877,1
5.50E-04,0.500013,-2.06E-02,609.422,18.3744,15.3514,1.0001
6.44E-04,0.500015,-2.01E-02,611.563,18.2383,15.2932,1.0001
7.38E-04,0.500017,-1.96E-02,613.88,18.0723,15.2223,1.0001
8.33E-04,0.500019,-1.91E-02,616.439,17.8791,15.1385,1.0001
9.27E-04,0.50002,-1.87E-02,619.148,17.7263,15.0405,1.0001
1.02E-03,0.500022,-1.83E-02,622.026,17.5983,14.9317,1.0001
1.21E-03,0.500026,-1.76E-02,628.645,17.2702,14.6739,1.0001
1.40E-03,0.500029,-1.70E-02,636.455,16.9866,14.3406,1.0001
1.59E-03,0.500032,-1.65E-02,645.983,16.6601,13.9867,1.0001
1.77E-03,0.500035,-1.60E-02,657.101,16.3699,13.7369,1.0001
2.02E-03,0.500039,-1.54E-02,678.701,15.8306,13.5311,1.0002
2.23E-03,0.500042,-1.50E-02,705.712,15.1399,13.9441,1.0002
2.47E-03,0.500046,-1.47E-02,773.971,13.3698,13.6609,1.0002
2.73E-03,0.500049,-1.44E-02,978.822,9.84021,8.80007,1.0002
3.00E-03,0.500053,-1.42E-02,1073.98,6.75709,5.90284,1.0002
3.22E-03,0.500056,-1.43E-02,1120.87,5.35735,4.44221,1.0002
3.45E-03,0.50006,-1.45E-02,1144.43,4.43409,3.29951,1.0002
3.60E-03,0.500062,-1.51E-02,1149.65,4.12498,2.66217,1.0002
3.62E-03,0.500062,-1.54E-02,1149.87,4.10486,2.578,1.0002
3.63E-03,0.500062,-1.56E-02,1149.94,4.09718,2.53689,1.0002
3.64E-03,0.500062,-1.58E-02,1149.96,4.0931,2.51473,1.0002
3.65E-03,0.500063,-1.60E-02,1149.98,4.08941,2.4939,1.0003
