Time(sec),Diameter(mm),K(mm^2/sec),T_max(K),D_Tmax/D_drop,D_OHm/D_drop,(D/Do)2
0,0.5,-0.0325791,600,20.0398,1,1
1E-10,0.5,-0.032579,600,20.0398,6.92455,1
3E-10,0.5,-0.032579,600,20.0398,6.92473,1
7E-10,0.5,-0.0325788,600,20.0398,6.92575,1
1.5E-09,0.5,-0.0325785,600,20.0398,6.92746,1
3.1E-09,0.5,-0.0325779,600,20.0397,6.93082,1
6.3E-09,0.5,-0.0325767,600,20.0397,6.93746,1
1.27E-08,0.5,-0.0325744,599.999,20.0397,6.95063,1
2.55E-08,0.5,-0.0325697,599.998,20.0397,6.97649,1
5.11E-08,0.5,-0.0325603,599.996,20.0396,7.02642,1
1.023E-07,0.5,-0.0325417,599.993,20.0395,7.1258,1
2.047E-07,0.5,-0.0325054,599.986,20.0393,7.31073,1
4.095E-07,0.5,-0.0324358,599.972,20.0389,7.6404,1
8.191E-07,0.5,-0.0323069,599.944,20.038,8.19482,1
1.6383E-06,0.5,-0.0320819,599.892,20.0363,9.0322,1
3.2767E-06,0.5,-0.0317194,599.795,20.033,10.161,1
4.9151E-06,0.5,-0.0314168,599.706,20.0296,10.8565,1
8.1919E-06,0.5,-0.0309471,599.676,19.887,11.8713,1
1.14687E-05,0.5,-0.0305602,599.706,19.7816,12.5277,1
1.47455E-05,0.5,-0.0302283,599.739,19.7202,13.0044,1
2.12991E-05,0.500001,-0.029691,599.808,19.6499,13.5998,1.000004
2.78527E-05,0.500001,-0.0292355,599.875,19.6085,13.9727,1.000004
4.09599E-05,0.500001,-0.028513,599.994,19.5574,14.3633,1.000004
5.40671E-05,0.500002,-0.0279127,600.098,19.5235,14.604,1.000008
6.71743E-05,0.500002,-0.0273983,600.196,19.4859,14.7738,1.000008
9.33887E-05,0.500003,-0.0265023,600.581,19.274,15.043,1.000012
0.000119603,0.500003,-0.0258062,600.951,19.1597,15.2404,1.000012
0.000172032,0.500005,-0.0246813,601.646,19.0308,15.521,1.00002
0.000218326,0.500006,-0.0239499,602.289,18.8905,15.683,1.000024
0.00026462,0.500007,-0.0233654,603.022,18.7278,15.7833,1.000028
0.000310914,0.500008,-0.0228583,603.747,18.6174,15.8377,1.000032
0.000357209,0.500009,-0.0224164,604.465,18.5339,15.8628,1.000036
0.000403503,0.50001,-0.0220218,605.207,18.4406,15.8651,1.00004
0.000496091,0.500012,-0.021344,606.866,18.2065,15.8286,1.000048001
0.00058868,0.500014,-0.0207689,608.558,18.0493,15.7653,1.000056001
0.000681268,0.500016,-0.0202424,610.386,17.8664,15.6823,1.000064001
0.000773856,0.500018,-0.0197571,612.354,17.6904,15.5874,1.000072001
0.000866445,0.50002,-0.0193182,614.405,17.5502,15.4824,1.000080002
0.000959033,0.500021,-0.0189108,616.654,17.3724,15.3685,1.000084002
0.00114421,0.500025,-0.0181924,621.597,17.0695,15.0914,1.000100003
0.00131087,0.500028,-0.0176124,626.782,16.7569,14.7919,1.000112003
0.00147753,0.500031,-0.0170869,632.716,16.4576,14.4395,1.000124004
0.00164419,0.500033,-0.0166084,639.615,16.1545,14.0403,1.000132004
0.00192917,0.500038,-0.0158883,654.63,15.5329,13.3078,1.000152006
0.00216001,0.500042,-0.0153885,671.269,14.9198,12.8326,1.000168007
0.00239441,0.500045,-0.0149562,696.303,13.9669,12.8291,1.000180008
0.00265303,0.500049,-0.0145723,753.158,12.3998,12.5233,1.00019601
0.00291839,0.500053,-0.014301,957.291,9.96409,8.95161,1.000212011
0.00321265,0.500057,-0.0141729,1065.32,6.6129,5.76286,1.000228013
0.00349089,0.500061,-0.0142727,1123.28,4.96069,4.04457,1.000244015
0.0036897,0.500064,-0.014533,1144.73,4.19279,3.05881,1.000256016
0.00388822,0.500067,-0.018388,1151.94,3.91654,2.29181,1.000268018
0.00394002,0.500068,-0.0260047,1152.47,3.90829,2.13539,1.000272018
0.00396357,0.500069,-0.0328218,1152.61,3.90795,2.0698,1.000276019
0.00397416,0.500069,-0.0369078,1152.65,3.90824,2.04001,1.000276019
0.00398122,0.500069,-0.0400452,1152.68,3.90857,2.01978,1.000276019
0.00398829,0.50007,-0.0435469,1152.69,3.90898,2.00251,1.00028002
