,t/(Do)2 (s/mm2),(D/Do)2,,,t/(Do)2 (s/mm2),Dflame/Dodrop,,t/(Do)2 (s/mm2),Dflame (mm),,Flame Radiance I,t/(Do)2,Flame Radiance (W),,Flame Radiance II,t/(Do)2,Flame Radiance (W),,,t/(Do)2,Cool Flame Dia (HWFM),,t/(Do)2,Cool Flame Dia (peak-peak),,,Simulations,t (s),D (mm),K(mm^2/sec),T_max(K),D_Tmax/D_drop,D_OHm/D_drop,,t/do^2 (s/mm2),(d/do)^2,Dflame(mm),,t/do2(s/mm2),Radiance (W),,,
EXPT,-0.200806,0.966184,,,0.00724638,12.8947,,0.00241546,1.57895,,,-0.195652,3.20874,,,-0.099839,0.987816,,,0.450886,6.90311,,0.444444,0,,,,0,4.5,-1.01677,2100,18.0038,1,,0,1,81.0171,,0.00240282,0.127959053,,,
,-0.193548,0.966184,,,0.00724638,13.2632,,0.00966184,1.68421,,,-0.183575,3.20874,,,-0.0933977,1.02482,,,0.457327,7.75087,,0.450886,0,,,,0,4.5,-1.01677,2100,18.0038,1,,0,1,81.0171,,0.004014099,2.175303903,,,
,-0.18629,0.968599,,,0.00724638,13.4737,,0.0120773,1.73684,,,-0.176329,3.20874,,,-0.0901771,1.02482,,,0.454106,8.84083,,0.434783,19.8616,,,,1E-10,4.5,-1.01677,2100,18.0038,8.40946,,4.93827E-12,1,81.0171,,0.006042296,3.838771593,,,
,-0.171774,0.971014,,,0.0120773,13.5789,,0.0169082,1.84211,,,-0.169082,3.2682,,,-0.0837359,1.02482,,,0.431562,23.6159,,0.441224,18.7716,,,,3E-10,4.5,-1.01677,2100,18.0038,8.26422,,1.48148E-11,1,81.0171,,0.008056395,6.014075496,,,
,-0.154839,0.97343,,,0.0120773,13.7368,,0.0217391,1.94737,,,-0.164251,3.2682,,,-0.0805153,1.03746,,,0.450886,23.8581,,0.460548,18.1661,,,,7E-10,4.5,-1.01677,2100,18.0038,8.32357,,3.45679E-11,1,81.0171,,0.010070493,8.445297505,,,
,-0.133065,0.97343,,,0.0144928,13.8947,,0.0241546,2,,,-0.15942,3.32876,,,-0.0708535,1.07632,,,0.457327,23.4948,,0.476651,17.8028,,,,1.5E-09,4.5,-1.01677,2100,18.0038,7.87012,,7.40741E-11,1,81.0171,,0.012084592,9.596928983,,,
,-0.130645,0.97343,,,0.0193237,13.8947,,0.031401,2,,,-0.149758,3.2682,,,-0.0644122,1.0896,,,0.463768,23.6159,,0.479871,17.6817,,,,3.1E-09,4.5,-1.01677,2100,18.0038,7.37034,,1.53086E-10,1,81.0171,,0.022155086,11.64427383,,,
,-0.120968,0.975845,,,0.0241546,13.8947,,0.0362319,1.94737,,,-0.147343,3.39044,,,-0.0611916,1.0896,,,0.47343,23.1315,,0.486312,17.8028,,,,6.3E-09,4.5,-1.01677,2100,18.0038,6.89032,,3.11111E-10,1,81.0171,,0.032225579,14.33141395,,,
,-0.11129,0.978261,,,0.0289855,13.9474,,0.0483092,1.68421,,,-0.144928,3.51725,,,-0.0611916,1.07632,,,0.489533,23.1315,,0.486312,17.8028,,,,1.27E-08,4.5,-1.01677,2100,18.0038,6.43085,,6.2716E-10,1,81.0171,,0.040281974,16.25079974,,,
,-0.0991935,0.985507,,,0.0362319,14.1579,,0.0507246,1.68421,,,-0.137681,3.39044,,,-0.057971,1.03746,,,0.489533,23.2526,,0.499195,18.045,,,,2.55E-08,4.5,-1.01677,2099.99,18.0038,6.1919,,1.25926E-09,1,81.0171,,0.052366566,18.5540627,,,
,-0.0895161,0.983092,,,0.0410628,14.3158,,0.0555556,1.57895,,,-0.125604,3.35946,,,-0.057971,1.05026,,,0.492754,23.2526,,0.502415,18.1661,,,,3.83E-08,4.5,-1.01677,2099.99,18.0038,5.92273,,1.89136E-09,1,81.0171,,0.064451158,20.7293666,,,
