Flame Type,Day,Test,XO2,mO2 (mg/s),mN2 (mg/s),mtot (mg/s),XC2H4 initial,XC2H4 final,pinit (atm),pfinal (atm),pmean (atm),mean Zst,Tad (K)
Inverse,1,21328A1,0.37082819,5.116084436,7.599363286,12.71544772,0.271563399,0.270262846,0.99823482,1.00980264,1.00401873,0.302316402,2595.073097
Inverse,1,21328A2,0.371286026,5.116388106,7.584919544,12.70130765,0.270262846,0.26916346,1.00163712,1.0138854,1.00776126,0.30350118,2594.870605
Inverse,1,21328D1,0.212319452,2.367048277,7.687948069,10.05499635,0.26916346,0.24285623,1.0036785,1.09281876,1.04824863,0.211548493,2192.217132
Inverse,1,21328N1,0.849977932,9.799337625,1.514213825,11.31355145,0.082213121,0.081614867,0.9492417,0.96080952,0.95502561,0.755160549,2335.819318
Inverse,1,21328N2,0.849977932,7.987785467,1.234289056,9.222074523,0.081614867,0.081198911,0.95060262,0.9594486,0.95502561,0.756306904,2330.954842
Inverse,1,21328N3,0.849977932,5.978573933,0.923821553,6.902395486,0.081198911,0.08084315,0.95196354,0.96012906,0.9560463,0.757181506,2327.248362
Inverse,1,21328N4,0.849977932,3.975052619,0.614233315,4.589285934,0.08084315,0.080586585,0.952644,0.9594486,0.9560463,0.757876908,2324.255924
Inverse,1,21328N5,0.849977932,1.967745679,0.304060114,2.271805793,0.080586585,0.080313163,0.95332446,0.9594486,0.95638653,0.75847983,2321.659453
Inverse,1,21328P1,0.40193315,1.965153866,2.559973398,4.525127264,0.080313163,0.080092897,0.95400492,0.95876814,0.95638653,0.61236899,2074.412212
Inverse,2,21340A1,0.849977932,5.111769298,0.789881116,5.901650414,0.169964669,0.169200622,0.99823482,1.0104831,1.00435896,0.598364979,2753.457876
Inverse,2,21340A2,0.849977932,5.111273414,0.789804491,5.901077905,0.169200622,0.16848839,1.0002762,1.01184402,1.00606011,0.599412867,2751.821327
Inverse,2,21340B1,0.564864309,5.112832173,3.448141647,8.560973821,0.16848839,0.167561942,1.00231758,1.01592678,1.00912218,0.509062814,2629.796945
Inverse,2,21340B2,0.565263488,5.111710377,3.441790334,8.553500712,0.167561942,0.166748544,1.00435896,1.0172877,1.01082333,0.510523365,2628.09307
Inverse,2,21340C1,0.355416217,4.595085909,7.295898092,11.890984,0.166748544,0.166068852,1.00640034,1.01796816,1.01218425,0.403886704,2420.890286
Inverse,2,21340C2,0.355855949,4.594163424,7.280449565,11.87461299,0.166068852,0.165485171,1.00776126,1.01796816,1.01286471,0.405086249,2420.108796
Inverse,2,21340C3,0.289768222,4.036459341,8.661496121,12.69795546,0.165485171,0.164813218,1.00980264,1.02205092,1.01592678,0.359636589,2294.767167
Inverse,2,21340C4,0.291369888,2.823159559,6.011091635,8.834251195,0.164813218,0.164349679,1.01184402,1.02069,1.01626701,0.361650975,2297.082658
Inverse,2,21340C5,0.293991022,1.945419093,4.090084855,6.035503948,0.164349679,0.164030883,1.0138854,1.02000954,1.01694747,0.364188678,2302.05441
Inverse,2,21340C6,0.291244031,2.820279964,6.008622327,8.828902292,0.164030883,0.163631447,1.01524632,1.02273138,1.01898885,0.362610604,2295.092425
Inverse,2,21340C7,0.294875805,1.942670025,4.066946936,6.009616961,0.163631447,0.163359176,1.01660724,1.02205092,1.01932908,0.365840201,2302.425376
Inverse,2,21340M1,0.849977932,7.986607356,1.234107012,9.220714367,0.121359675,0.119851131,0.99959574,1.01796816,1.00878195,0.676880702,2592.726579
Inverse,2,21340M2,0.469396187,5.978128477,5.916148163,11.89427664,0.119851131,0.115894407,1.00163712,1.03157736,1.01660724,0.554365485,2393.531817
Inverse,3,21349A1,0.849977932,5.107839217,0.789273832,5.897113049,0.658125963,0.657133201,0.42460704,0.42732888,0.42596796,0.277550565,2974.146527
Inverse,3,21349B1,0.849977932,9.79556982,1.513631616,11.30920144,0.657133201,0.655061698,0.4252875,0.43073118,0.42800934,0.278018511,2974.456119
Inverse,3,21349D2,0.212288808,2.700952032,8.774043368,11.4749954,0.653403118,0.650284191,0.42664842,0.43073118,0.4286898,0.09531966,2312.861755
Inverse,3,21349D3,0.252907672,3.716332937,9.611028728,13.32736166,0.650284191,0.64686079,0.42800934,0.43277256,0.43039095,0.111465943,2446.918406
Inverse,3,21349M1,0.345371087,4.254641812,7.060170638,11.31481245,0.275418657,0.274020016,0.99891528,1.01252448,1.00571988,0.285385365,2559.224531
Inverse,3,21349M2,0.262286322,2.540828439,6.256486664,8.797315103,0.274020016,0.27307004,1.00163712,1.01116356,1.00640034,0.235515262,2379.01697
Inverse,3,21349M3,0.212467161,2.145902755,6.963536936,9.109439691,0.27307004,0.269275739,1.0036785,1.02477276,1.01422563,0.202219079,2205.890082
Inverse,3,21349M4,RAMP,3.713770993,RAMP,RAMP,0.269275739,0.266400752,1.01320494,1.0342992,1.02375207,RAMP,RAMP
Inverse,3,21349M5,RAMP,3.712931619,RAMP,RAMP,0.266400752,0.26291477,1.02000954,1.0411038,1.03055667,RAMP,RAMP
Inverse,3,21349M6,RAMP,7.311215024,RAMP,RAMP,0.26291477,0.259654795,1.02885552,1.04994978,1.03940265,RAMP,RAMP
Inverse,3,21349M7,0.500492181,7.310965092,6.387967414,13.69893251,0.259654795,0.258821011,1.03838196,1.04994978,1.04416587,0.375234553,2727.325605
Inverse,3,21349N1,0.502028139,7.364428699,6.395268658,13.75969736,0.258821011,0.256035963,0.50149902,0.51170592,0.50660247,0.377549756,2671.772537
Inverse,3,21349N2,0.319651909,4.464751386,8.319440838,12.78419222,0.256035963,0.25378637,0.50422086,0.5137473,0.50898408,0.285580288,2461.103922
Inverse,3,21349N3,0.212378902,2.142927373,6.95755118,9.100478553,0.25378637,0.248132764,0.50762316,0.52259328,0.51510822,0.214936687,2172.963137
Inverse,3,21349N4,0.212017175,2.358999673,7.675674979,10.03467465,0.248132764,0.244716545,0.51578868,0.52531512,0.5205519,0.217747776,2167.407644
Inverse,4,21361A1,0.849977932,5.109415946,0.789517471,5.898933417,0.201400782,0.200593384,1.0002762,1.01252448,1.00640034,0.556928851,2817.701326
Inverse,4,21361B1,0.849977932,5.111037979,0.789768111,5.90080609,0.200593384,0.199559204,1.00231758,1.01524632,1.00878195,0.558061579,2816.297178
Inverse,4,21361C1,0.433408794,5.112729376,5.851509369,10.96423875,0.199559204,0.198389313,1.0036785,1.01864862,1.01116356,0.4060833,2584.497108
Inverse,4,21361C2,0.433829814,5.11268728,5.841438645,10.95412592,0.198389313,0.19712543,1.0070808,1.02205092,1.01456586,0.407784467,2583.095391
Inverse,4,21361D1,0.269972431,3.717776899,8.801286485,12.51906338,0.19712543,0.196057521,1.00980264,1.0240923,1.01694747,0.305920203,2308.205137
Inverse,4,21361D2,0.270380954,3.716349451,8.77969843,12.49604788,0.196057521,0.195265852,1.01320494,1.02477276,1.01898885,0.307237534,2307.790922
Inverse,4,21361F1,0.849977932,5.112470614,0.789989485,5.902460099,0.167986576,0.167257094,0.99891528,1.01252448,1.00571988,0.60115671,2748.828582
Inverse,4,21361F2,0.849977932,5.110540168,0.789691189,5.900231357,0.167257094,0.166668081,1.0002762,1.01184402,1.00606011,0.602101183,2747.239261
Inverse,4,21361F3,0.849977932,4.076257064,0.629871634,4.706128698,0.166668081,0.166089542,1.00163712,1.01252448,1.0070808,0.602940013,2745.87798
Inverse,4,21361F4,0.849977932,4.075886607,0.62981439,4.705700997,0.166089542,0.165700017,1.00231758,1.0104831,1.00640034,0.603637295,2744.622802
Inverse,4,21361F5,0.849977932,5.111822123,0.789889279,5.901711401,0.165700017,0.165256098,1.0036785,1.01320494,1.00844172,0.604238905,2743.741424
Inverse,4,21361F6,0.849977932,3.378539633,0.5220589,3.900598532,0.165256098,0.164949208,1.0036785,1.0104831,1.0070808,0.604781893,2742.694341
Inverse,4,21361G1,0.569603349,4.414127932,2.92000943,7.334137363,0.164949208,0.16445868,1.0036785,1.01524632,1.00946241,0.515981516,2624.773704
Inverse,4,21361G2,0.571963123,3.915640299,2.565422714,6.481063013,0.16445868,0.163971009,1.00571988,1.01524632,1.0104831,0.517678732,2625.080548
Inverse,4,21361G3,0.572032341,3.916801911,2.565458331,6.482260242,0.163971009,0.163485877,1.0070808,1.01592678,1.01150379,0.51844729,2623.983759
Inverse,4,21361G4,0.364248407,3.916347442,5.984308825,9.900656268,0.163485877,0.16287011,1.00776126,1.01864862,1.01320494,0.414269113,2426.492367
Inverse,4,21361G5,0.366162786,3.377517126,5.118516166,8.496033292,0.16287011,0.162567169,1.00912218,1.01592678,1.01252448,0.416163291,2428.136754
Inverse,4,21361M1,0.434718543,4.751326796,5.408968659,10.16029546,0.202702968,0.201964586,0.99959574,1.01116356,1.00537965,0.402734846,2591.047939
Inverse,4,21361M2,0.271103057,3.378671719,7.952811692,11.33148341,0.201964586,0.201225833,1.00163712,1.01116356,1.00640034,0.301456255,2318.962941
Inverse,4,21361M3,0.849977932,8.487241371,1.31146601,9.798707381,0.201225833,0.199728987,1.00299804,1.02341184,1.01320494,0.557567572,2817.385242
Inverse,5,22018A1,0.849977932,4.073693512,0.629475509,4.703169021,0.16850538,0.168013928,0.99823482,1.00844172,1.00333827,0.600245752,2750.19297
Inverse,5,22018B1,0.849977932,4.073322365,0.629418158,4.702740523,0.168013928,0.167530837,1.0002762,1.00844172,1.00435896,0.600941443,2749.088883
Inverse,5,22018C1,0.568658025,4.072985885,2.704745728,6.777731613,0.167530837,0.166943529,1.00095666,1.0104831,1.00571988,0.511784884,2630.07161
Inverse,5,22018D1,0.455719081,3.735522811,3.90589242,7.641415231,0.166943529,0.166425169,1.00163712,1.0104831,1.00606011,0.461101546,2542.425584
Inverse,5,22018F1,0.365417242,3.380158434,5.139007818,8.519166252,0.166425169,0.165893132,1.00299804,1.01116356,1.0070808,0.410619721,2435.086927
Inverse,5,22018G1,0.849977932,3.378335434,0.522027347,3.900362781,0.099811312,0.098969242,0.99891528,1.0104831,1.00469919,0.717672022,2476.425337
Inverse,5,22018G2,0.849977932,5.111740582,0.789876679,5.90161726,0.098969242,0.09835694,1.00095666,1.01252448,1.00674057,0.719157546,2471.688901
Inverse,5,22018G3,0.849977932,6.830802851,1.05550972,7.886312571,0.09835694,0.097840824,1.00231758,1.01252448,1.00742103,0.720314378,2467.923584
Inverse,5,22018H2,0.497148646,3.379252091,2.99238137,6.371633461,0.097772708,0.097121234,1.0036785,1.01456586,1.00912218,0.613572893,2301.733147
Inverse,5,22018J1,0.318171716,3.381485854,6.344012164,9.725498018,0.097121234,0.095846323,1.00640034,1.02137046,1.0138854,0.512535787,2083.471194
Inverse,5,22018J2,0.849977932,2.404322822,0.371520912,2.775843734,0.095846323,0.095162002,1.01116356,1.02069,1.01592678,0.725682759,2450.272783
Inverse,5,22018J4,0.460992465,5.93957624,6.079942314,12.01951855,0.095162002,0.089623062,1.01184402,1.03566012,1.02375207,0.609436683,2236.173714
Inverse,6,22024A1,0.849977932,5.1094386,0.789520972,5.898959572,0.190430857,0.189655584,0.99959574,1.01184402,1.00571988,0.570709384,2797.537106
Inverse,6,22024A2,0.849977932,5.108951241,0.789445664,5.898396905,0.189655584,0.188896284,1.00163712,1.0138854,1.00776126,0.571700273,2796.220593
Inverse,6,22024B1,0.849977932,5.106979338,0.789140962,5.8961203,0.188896284,0.188232409,1.00299804,1.01320494,1.00810149,0.572622311,2794.857861
Inverse,6,22024C1,0.644458404,5.106808749,2.466539686,7.573348435,0.188232409,0.187505429,1.00435896,1.01592678,1.01014287,0.511493642,2716.210658
Inverse,6,22024D1,0.411995618,4.07128604,5.087009757,9.158295797,0.187505429,0.186859901,1.00503942,1.01524632,1.01014287,0.409296564,2539.910923
Inverse,6,22024F1,0.256270373,3.375263287,8.575655462,11.95091875,0.186859901,0.18613575,1.0070808,1.0172877,1.01218425,0.30645299,2252.570102
Inverse,6,22024B2,RAMP,RAMP,RAMP,RAMP,0.18613575,0.184746027,1.00980264,1.02613368,1.01796816,RAMP,RAMP
Inverse,6,22024B3,RAMP,RAMP,RAMP,RAMP,0.184746027,0.183071175,1.01116356,1.03225782,1.02171069,RAMP,RAMP
Inverse,6,22024G1,0.849977932,5.103922198,0.788668566,5.892590764,0.189860448,0.188836155,0.49945764,0.50558178,0.50251971,0.571606669,2737.286635
Inverse,6,22024H1,0.849977932,5.103546171,0.788610462,5.892156632,0.188836155,0.187576622,0.50081856,0.5069427,0.50388063,0.57308726,2735.473256
Inverse,6,22024J1,0.643889549,5.101957023,2.470319507,7.572276531,0.187576622,0.18640784,0.50149902,0.5069427,0.50422086,0.512460274,2662.275935
Inverse,6,22024K1,0.411583511,4.068403157,5.092063812,9.160466969,0.18640784,0.185416615,0.50217948,0.50830362,0.50524155,0.410715343,2499.463612
Inverse,6,22024L1,0.256080232,3.372611797,8.577473579,11.95008538,0.185416615,0.184294295,0.50422086,0.510345,0.50728293,0.308183512,2231.320599
Inverse,6,22024L2,0.327364706,3.37407378,6.069394398,9.443468177,0.184294295,0.183359579,0.50558178,0.51102546,0.50830362,0.361874394,2382.830779
Inverse,6,22024L3,0.413276012,3.373383806,4.192783052,7.566166859,0.183359579,0.182551603,0.50762316,0.51170592,0.50966454,0.415541726,2496.482823
Inverse,6,22024H2,0.849977932,5.095999358,0.787444313,5.883443671,0.182551603,0.181626424,0.50830362,0.5137473,0.51102546,0.58115142,2725.291848
Inverse,6,22042M1,RAMP,RAMP,RAMP,RAMP,0.181626424,0.179176494,0.50830362,0.5171496,0.51272661,RAMP,RAMP
Inverse,6,22024M2,RAMP,RAMP,RAMP,RAMP,0.179176494,0.176378014,0.51102546,0.52123236,0.51612891,RAMP,RAMP
Inverse,6,22024K2,LOW O2,LOW O2,LOW O2,LOW O2,0.176378014,0.172708811,0.51238638,0.52531512,0.51885075,LOW O2,LOW O2
Inverse,6,22024K3,LOW O2,LOW O2,LOW O2,LOW O2,0.172708811,0.167677269,0.5171496,0.53280018,0.52497489,LOW O2,LOW O2
Inverse,7,22027B1,0.849977932,3.379733115,0.522243319,3.901976434,0.099171921,0.099041373,2.99810676,3.01171596,3.00491136,0.718250703,2523.548643
Inverse,7,22027B2,0.849977932,2.699528129,0.417136644,3.116664773,0.099041373,0.098912212,2.99946768,3.01239642,3.00593205,0.718515951,2522.594892
Inverse,7,22027B3,0.849977932,1.665328676,0.257330016,1.922658692,0.098912212,0.098756796,3.0008286,3.01375734,3.00729297,0.718806823,2521.55044
Inverse,7,22027B4,RAMP,RAMP,RAMP,RAMP,0.098756796,0.098714061,3.00218952,3.00695274,3.00457113,RAMP,RAMP
Inverse,7,22027B5,0.849977932,1.523649805,0.235437505,1.75908731,0.098714061,0.098612885,3.00286998,3.01307688,3.00797343,0.719156764,2520.277556
Inverse,7,22027B6,0.849977932,1.664362248,0.257180681,1.921542929,0.098612885,0.09849131,3.00355044,3.01511826,3.00933435,0.719384828,2519.459328
Inverse,7,22027B7,0.849977932,1.703554604,0.263236765,1.966791369,0.09849131,0.098379987,3.00491136,3.01511826,3.01001481,0.719623437,2518.591393
Inverse,7,22027D1,0.491262479,5.975196875,5.417206387,11.39240326,0.098379987,0.098192232,3.00559182,3.02396424,3.01477803,0.608891809,2332.414473
Inverse,7,22027D2,0.849977932,5.974271311,0.923156703,6.897428014,0.098192232,0.098007296,3.0076332,3.02872746,3.01818033,0.720312566,2516.163333
Inverse,7,22027D3,0.849977932,4.41376341,0.682023809,5.095787219,0.098007296,0.097870057,2.99810676,3.01375734,3.00593205,0.720643535,2514.767438
Inverse,7,22027D4,0.849977932,3.915485838,0.605028933,4.520514771,0.097870057,0.097739223,2.99810676,3.01375734,3.00593205,0.720919157,2513.745464
Inverse,7,22027D5,0.849977932,3.378104495,0.521991662,3.900096157,0.097739223,0.09761147,2.99810676,3.01375734,3.00593205,0.721185226,2512.757169
Inverse,7,22027D6,0.849977932,3.658594414,0.565333541,4.223927955,0.09761147,0.09750016,2.99946768,3.01375734,3.00661251,0.721431381,2511.850742
Inverse,7,22027B8,RAMP,RAMP,RAMP,RAMP,0.09750016,0.097393159,2.99946768,3.0110355,3.00525159,RAMP,RAMP
Inverse,7,22027C1,0.498054913,3.379544607,2.981811263,6.36135587,0.097393159,0.097246616,3.00014814,3.01579872,3.00797343,0.614285228,2331.109978
Inverse,7,22027C2,0.318569512,3.377998223,6.3258626,9.703860823,0.097246616,0.097134261,3.00218952,3.0144378,3.00831366,0.511011054,2101.256389
Inverse,8,22035A1,0.849977932,5.109348568,0.78950706,5.898855628,0.169801715,0.169542559,1.97129262,1.9835409,1.97741676,0.598238183,2807.564721
Inverse,8,22035B1,0.849977932,5.10985174,0.789584811,5.899436551,0.169542559,0.169257367,1.97197308,1.9869432,1.97945814,0.59862398,2806.937556
Inverse,8,22035C1,0.569103938,4.410604459,2.923627483,7.334231942,0.169257367,0.168972863,1.97401446,1.98626274,1.9801386,0.509175624,2678.32602
Inverse,8,22035D1,0.455889821,4.072826663,4.255649684,8.328476347,0.168972863,0.168732157,1.97469492,1.9869432,1.98081906,0.45797913,2584.071877
Inverse,8,22035D3,0.455328049,4.073709511,4.266223977,8.339933488,0.168732157,0.168488443,1.97401446,1.98626274,1.9801386,0.458048092,2582.875102
Inverse,8,22035F1,0.36478772,3.713179997,5.660667771,9.373847768,0.168488443,0.168251344,1.97741676,1.98830412,1.98286044,0.407029236,2467.442737
Inverse,8,22035G1,0.290628255,3.378901961,7.220289834,10.59919179,0.168251344,0.168002927,1.97809722,1.98898458,1.9835409,0.356183583,2322.299242
Inverse,8,22035G2,0.849977932,8.486816234,1.311400317,9.798216551,0.168002927,0.166863129,1.97945814,2.01824436,1.99885125,0.601426902,2802.516709
Inverse,8,22035J1,0.849977932,3.380492646,0.522360684,3.90285333,0.100785536,0.09754001,0.49945764,0.50966454,0.50456109,0.718136116,2442.201062
Inverse,8,22035J2,0.849977932,5.113764672,0.790189446,5.903954118,0.09754001,0.094548181,0.5035404,0.51238638,0.50796339,0.724559073,2422.759044
Inverse,8,22035J3,0.849977932,5.111885732,0.789899108,5.90178484,0.094548181,0.093505292,0.5069427,0.5137473,0.510345,0.728775405,2409.491562
Inverse,8,22035J4,0.849977932,5.113775708,0.790191151,5.903966858,0.093505292,0.091853279,0.50762316,0.51578868,0.51170592,0.731619052,2400.278517
