Flame Type,Day,Fuel,Test,Xfuel,mfuel (mg/s),mN2 (mg/s),mtot (mg/s),XO2 (init),XO2 (final),pinit (atm),pfinal (atm),pmean (atm),mean Zst,Tad (K)
Normal,0,C2H4,19115A1,1,0.968953877,0,0.968953877,0.207128374,0.206202891,1.01184402,1.0240923,1.01796816,0.062716477,2352.144414
Normal,0,C2H4,19115D2,RAMPED,RAMPED,RAMPED,RAMPED,0.206169206,0.205663073,1.01320494,1.01932908,1.01626701,RAMPED,RAMPED
Normal,0,C2H4,19115B1,1,0.639804819,0,0.639804819,0.205663073,0.204951718,1.0138854,1.02069,1.0172877,0.062341004,2345.932123
Normal,0,C2H4,19115B2,RAMPED,RAMPED,RAMPED,RAMPED,0.204939076,0.20431758,1.01320494,1.02000954,1.01660724,RAMPED,RAMPED
Normal,0,C2H4,19115F1,0.292030339,0.638036948,1.545139763,2.183176711,0.20431758,0.203863566,1.0138854,1.01932908,1.01660724,0.184576296,2186.108871
Normal,0,C2H4,19115G1,RAMPED,RAMPED,RAMPED,RAMPED,0.203863566,0.203513186,1.0138854,1.01932908,1.01660724,RAMPED,RAMPED
Normal,0,C2H4,19115K1,0.288493924,2.502984026,6.166451003,8.66943503,0.203460708,0.202822015,1.01456586,1.02069,1.01762793,0.185731014,2179.212411
Normal,0,C2H4,19115L1,1,2.514750555,0,2.514750555,0.202822015,0.201905747,1.01592678,1.02545322,1.02069,0.061525773,2332.354419
Normal,0,C2H4,19115N1,0.483929551,2.503660919,2.667089709,5.170750628,0.201883189,0.201368251,1.01524632,1.02205092,1.01864862,0.118937002,2260.545079
Normal,0,C2H4,19115M4,0.493919981,0.63838319,0.653400262,1.291783452,0.201357214,0.20087857,1.01592678,1.02205092,1.01898885,0.116559644,2260.822619
Normal,0,C2H4,19115Q1,1,0.802256055,0,0.802256055,0.200867151,0.200398938,1.01660724,1.02273138,1.01966931,0.061045429,2324.097655
Normal,1,C2H4,19123A1,1,1.626588386,0,1.626588386,0.209828781,0.20919187,1.00299804,1.00776126,1.00537965,0.063501438,2364.426559
Normal,1,C2H4,19123A2,1,1.625676881,0,1.625676881,0.20919187,0.208580728,1.00776126,1.00844172,1.00810149,0.063329411,2361.762282
Normal,1,C2H4,19123A3,1,1.626350821,0,1.626350821,0.208580728,0.207973375,1.00844172,1.01320494,1.01082333,0.063161368,2359.146427
Normal,1,C2H4,19123A4,1,1.625622486,0,1.625622486,0.207973375,0.207379511,1.01320494,1.00912218,1.01116356,0.062995621,2356.472075
Normal,1,C2H4,19123C1,0.290053768,1.29671751,3.170498767,4.467216277,0.207379511,0.20666972,1.00912218,1.01184402,1.0104831,0.18770577,2197.57711
Normal,1,C2H4,19123F1,0.488967651,1.295839719,1.35286611,2.648705829,0.20666972,0.206083892,1.01184402,1.01320494,1.01252448,0.12022924,2283.586332
Normal,1,C2H4,19123F2,0.48844154,1.296571078,1.356482749,2.653053827,0.206083892,0.205485391,1.01252448,1.0138854,1.01320494,0.120047982,2280.79265
Normal,1,C2H4,19123F3,0.489013327,1.29379912,1.350488828,2.644287947,0.205485391,0.20498867,1.0138854,1.01524632,1.01456586,0.119651505,2278.4985
Normal,1,C2H4,19123K1,0.206176659,1.296892511,4.987967502,6.284860013,0.204907733,0.204429245,1.01456586,1.02000954,1.0172877,0.243281303,2100.74935
Normal,1,C2H4,19123B1,0.28843596,2.500696737,6.16255603,8.663252766,0.204429245,0.203807321,1.01592678,1.02205092,1.01898885,0.186467574,2183.610185
Normal,1,C2H4,19123D1,0.483530736,2.501190411,2.668716346,5.169906757,0.203807321,0.20322776,1.01660724,1.02341184,1.02000954,0.119978447,2269.282199
Normal,1,C2H4,19123J1,0.205391604,2.501246811,9.666344652,12.16759146,0.20322776,0.202550678,1.0172877,1.0240923,1.02069,0.242422701,2091.888636
Normal,1,C2H4,19123L1,1,2.505824974,0,2.505824974,0.202550678,0.201832917,1.01864862,1.02477276,1.02171069,0.061478048,2331.574241
Normal,1,C2H4,19123L2,1,2.504707939,0,2.504707939,0.201832917,0.201123228,1.01932908,1.02477276,1.02205092,0.061280032,2328.203112
Normal,1,C2H4,19123L3,RAMP,RAMP,RAMP,RAMP,0.201123228,0.200535703,1.01932908,1.02545322,1.02239115,RAMP,RAMP
Normal,1,C2H4,19123L4,RAMP,RAMP,RAMP,RAMP,0.200535703,0.200108197,1.02000954,1.02545322,1.02273138,RAMP,RAMP
Normal,1,C2H4,19123L5,RAMP,RAMP,RAMP,RAMP,0.200108197,0.199796361,1.02000954,1.0240923,1.02205092,RAMP,RAMP
Normal,1,C2H4,19123L6,RAMP,RAMP,RAMP,RAMP,0.199796361,0.199415737,1.02000954,1.02477276,1.02239115,RAMP,RAMP
Normal,1,C2H4,19123L7,RAMP,RAMP,RAMP,RAMP,0.199415737,0.199166976,1.01932908,1.02341184,1.02137046,RAMP,RAMP
Normal,2,C2H4,19137A1,1,1.941813707,0,1.941813707,0.210188478,0.209521205,1.0036785,1.00912218,1.00640034,0.063596373,2365.978278
Normal,2,C2H4,19137B1,0.485086654,1.942101466,2.059311306,4.001412772,0.209521205,0.208724327,1.0036785,1.00980264,1.00674057,0.122447386,2294.580179
Normal,2,C2H4,19137C1,0.28896973,1.942499787,4.774544923,6.71704471,0.208724327,0.208021363,1.00503942,1.01184402,1.00844172,0.189242716,2202.608744
Normal,2,C2H4,19137D1,0.206064938,1.942548354,7.476321713,9.418870067,0.208021363,0.207274975,1.00571988,1.01252448,1.00912218,0.245975848,2113.26725
Normal,2,C2H4,19137F1,0.167253386,1.936365763,9.630761272,11.56712704,0.207274975,0.206583339,1.0070808,1.0138854,1.0104831,0.286002577,2042.737923
Normal,2,C2H4,19137F2,0.152601931,1.622935861,9.002519368,10.62545523,0.206583339,0.205935113,1.00776126,1.0138854,1.01082333,0.304417155,2006.54149
Normal,2,C2H4,19137F3,0.152358888,1.618636731,8.995573884,10.61421062,0.205935113,0.205363297,1.00912218,1.01524632,1.01218425,0.304145478,2003.466901
Normal,2,C2H4,19137G1,RAMP,RAMP,RAMP,RAMP,0.205363297,0.204891116,1.00980264,1.01524632,1.01252448,RAMP,RAMP
Normal,2,C2H4,19137H1,RAMP,RAMP,RAMP,RAMP,0.204891116,0.204441536,1.01116356,1.01456586,1.01286471,RAMP,RAMP
Normal,2,C2H4,19137J1,RAMP,RAMP,RAMP,RAMP,0.204441536,0.20401684,1.01116356,1.01252448,1.01184402,RAMP,RAMP
Normal,2,C2H4,19137K1,RAMP,RAMP,RAMP,RAMP,0.20401684,0.203628498,1.0104831,1.01184402,1.01116356,RAMP,RAMP
Normal,2,C2H4,19137K2,RAMP,RAMP,RAMP,RAMP,0.203628498,0.203230898,1.01116356,1.01184402,1.01150379,RAMP,RAMP
Normal,2,C2H4,19137L1,0.490751453,0.963140452,0.998373614,1.961514066,0.203230898,0.202842409,1.01116356,1.01184402,1.01150379,0.118182393,2268.778077
Normal,2,C2H4,19137L2,RAMP,RAMP,RAMP,RAMP,0.202842409,0.202392691,1.01116356,1.01252448,1.01184402,RAMP,RAMP
Normal,2,C2H4,19137L3,RAMP,RAMP,RAMP,RAMP,0.202392691,0.201997282,1.01252448,1.01320494,1.01286471,RAMP,RAMP
Normal,2,C2H4,19137L4,RAMP,RAMP,RAMP,RAMP,0.201997282,0.201642461,1.01320494,1.01592678,1.01456586,RAMP,RAMP
Normal,2,C2H4,19137L5,RAMP,RAMP,RAMP,RAMP,0.201642461,0.201330073,1.01252448,1.01320494,1.01286471,RAMP,RAMP
Normal,2,C2H4,19137L6,RAMP,RAMP,RAMP,RAMP,0.201330073,0.200879825,1.01252448,1.0138854,1.01320494,RAMP,RAMP
Normal,2,C2H4,19137L7,0.491154307,0.964454393,0.998125397,1.96257979,0.200879825,0.200458311,1.01320494,1.0138854,1.01354517,0.116914687,2257.839227
Normal,2,C2H4,19137L8,RAMP,RAMP,RAMP,RAMP,0.200458311,0.200039988,1.0138854,1.01456586,1.01422563,RAMP,RAMP
Normal,3,C2H4,19142G1,RAMP,RAMP,RAMP,RAMP,0.396945546,0.389985715,1.00776126,1.02885552,1.01830839,RAMP,RAMP
Normal,3,C2H4,19142G2,RAMP,RAMP,RAMP,RAMP,0.389985715,0.38379786,1.01252448,1.03361874,1.02307161,RAMP,RAMP
Normal,3,C2H4,19142G3,RAMP,RAMP,RAMP,RAMP,0.38379786,0.378755156,1.01660724,1.03634058,1.02647391,RAMP,RAMP
Normal,3,C2H4,19142F1,RAMP,RAMP,RAMP,RAMP,0.378755156,0.373169325,1.02000954,1.04178426,1.0308969,RAMP,RAMP
Normal,3,C2H4,19142J2,RAMP,RAMP,RAMP,RAMP,0.373169325,0.368985932,1.02545322,1.04314518,1.0342992,RAMP,RAMP
Normal,3,C2H4,19142G4,RAMP,RAMP,RAMP,RAMP,0.378720538,0.375586869,0.98870838,0.99619344,0.99245091,RAMP,RAMP
Normal,3,C2H4,19142G5,RAMP,RAMP,RAMP,RAMP,0.375586869,0.373429444,0.99143022,0.99279114,0.99211068,RAMP,RAMP
Normal,3,C2H4,19142J3,RAMP,RAMP,RAMP,RAMP,0.373429444,0.369621375,0.99143022,0.99279114,0.99211068,RAMP,RAMP
Normal,4,C2H4,19150A1,0.095298385,0.965830089,9.159163735,10.12499382,0.398236568,0.397199753,1.00435896,1.01252448,1.00844172,0.568284905,2191.412558
Normal,4,C2H4,19150A3,0.09553434,0.969501438,9.168880181,10.13838162,0.397053473,0.395464744,1.0070808,1.01864862,1.01286471,0.566824325,2191.382943
Normal,4,C2H4,19150A4,0.095749261,0.972398123,9.173452494,10.14585062,0.395464744,0.392640279,1.0104831,1.02681414,1.01864862,0.564973815,2190.311601
Normal,4,C2H4,19150A5,0.075455886,0.808461195,9.895299939,10.70376113,0.392640279,0.389105849,1.01524632,1.03361874,1.02443253,0.620550782,2016.486447
Normal,4,C2H4,19150B2,0.109649607,1.136048334,9.214800775,10.35084911,0.388949666,0.386279977,1.02137046,1.03702104,1.02919575,0.527525933,2266.279232
Normal,4,C2H4,19150C1,0.130862642,1.300910705,8.630888125,9.931798831,0.386279977,0.382816521,1.02477276,1.04382564,1.0342992,0.481465783,2357.411608
Normal,4,C2H4,19150B3,0.109636618,1.136022891,9.215820554,10.35184344,0.382816521,0.380191697,1.02953598,1.04518656,1.03736127,0.52379966,2258.50826
Normal,4,C2H4,19150D2,0.167819581,1.950236671,9.660451925,11.6106886,0.380057661,0.371068834,1.03293828,1.04246472,1.0377015,0.414513641,2454.687757
Normal,4,C2H4,19150F1,0.206098842,2.521308315,9.701795283,12.2231036,0.371068834,0.361329459,1.04246472,1.05063024,1.04654748,0.360134008,2514.159531
Normal,4,C2H4,19150G2,0.288710257,2.521002995,6.204302445,8.72530544,0.370409062,0.365614547,1.04246472,1.04722794,1.04484633,0.287581619,2608.482429
Normal,4,C2H4,19150H1,0.481697924,2.520039729,2.70863713,5.228676859,0.365614547,0.36174856,1.04246472,1.0479084,1.04518656,0.193051831,2695.153604
Normal,4,C2H4,19150J1,1,2.519116705,0,2.519116705,0.36174856,0.358337895,1.04722794,1.04858886,1.0479084,0.102449525,2763.339012
Normal,4,C2H4,19150G3,0.288582188,2.520255857,6.20633353,8.726589387,0.358337895,0.35426149,1.04722794,1.0513107,1.04926932,0.2814123,2590.824593
Normal,4,C2H4,19150N1,0.167870521,0.809161097,4.006699111,4.815860208,0.300281323,0.294018816,1.00231758,1.02137046,1.01184402,0.361434899,2317.42441
Normal,4,C2H4,19150S1,1,0.804545996,0,0.804545996,0.294018816,0.292927725,1.00912218,1.01456586,1.01184402,0.085829782,2632.641072
Normal,5,C2H4,19156B2,RAMP,RAMP,RAMP,RAMP,0.388965886,0.388006709,1.01320494,1.01932908,1.01626701,RAMP,RAMP
Normal,5,C2H4,19156B4,0.060310092,1.300425572,20.24022519,21.54065076,0.38786475,0.379703491,1.01524632,1.04586702,1.03055667,0.667875606,1829.222592
Normal,5,C2H4,19156K1,0.209735184,2.516179338,9.470615637,11.98679497,0.379703491,0.376921633,1.02885552,1.0479084,1.03838196,0.363230048,2536.529561
Normal,5,C2H4,19156C1,1,2.515380757,0,2.515380757,0.376921633,0.374961367,1.03157736,1.05267162,1.04212449,0.106286457,2787.380013
Normal,5,C2H4,19156C2,1,2.521243168,0,2.521243168,0.374961367,0.370676005,1.0308969,1.04722794,1.03906242,0.105536682,2782.474241
Normal,5,C2H4,19156C3,1,2.518910212,0,2.518910212,0.370676005,0.366513124,1.0308969,1.04858886,1.03974288,0.10451947,2776.112319
Normal,5,C2H4,19156J1,RAMP,RAMP,RAMP,RAMP,0.373448053,0.370400179,1.02613368,1.04518656,1.03566012,RAMP,RAMP
