Test Date,Fuel Type
2012-FEB-09,100% CH4
2012-FEB-13 SLICE testing with ,40% CH4 (balance N2) including 2 pyrometry calibration tests and 2 fan calibrations
2012-FEB-17,70% CH4 (balance N2) including 1 pyrometry calibration test
2012-FEB-20 ,20% C2H4 (balance N2)
2012-FEB-27 ,100% CH4
2012-MAR-01,40% CH4 (balance N2)
2012-MAR-05 SLICE testing with ,70% CH4 (balance N2) where the fuel bottle was not emptied (in contrast to most days)
2012-MAR-09  ,100% C2H6
2012-MAR-12 , 100% CH4
2012-MAR-15 , 20% C2H4 (balance N2)
2012-MAR-19 SLICE testing with ,70% CH4 (balance N2) including 1 pyrometry calibration test and 2 fan calibrations
2012-MAR-23 Last day of testing: SPICE testing with 100% C3H8 and then 100%,100% C2H4
