GMT date,GMT ignition,GMT  Flame Off ,Fuel,Nozzle (mm),Fuel Rate (sccm),Fuel Rate (mg/s),HC Fuel Rate (mg/s),Air Rate (cm/s)
45,14:37:08,14:48:03,Ethylene,1.6002,103.8,1.971,1.971,36.39
45,14:37:08,14:48:03,Ethylene,1.6002,103.8,1.971,1.971,36.39
45,14:50:07,14:52:11,Ethylene,1.6002,51,0.968,0.968,40.15
45,14:50:07,14:52:11,Ethylene,1.6002,51.6,0.98,0.98,40.15
45,15:35:44,15:37:00,Ethylene,1.6002,138,2.62,2.62,57.08
45,15:35:44,15:37:00,Ethylene,1.6002,138,2.62,2.62,57.08
45,15:35:44,15:37:00,Ethylene,1.6002,137.4,2.608,2.608,57.08
45,15:42:22,15:43:03,Ethylene,1.6002,69,1.31,1.31,58.02
45,15:42:22,15:43:03,Ethylene,1.6002,69,1.31,1.31,58.02
45,15:48:39,15:49:19,Ethylene,1.6002,63.6,1.207,1.207,17.59
45,15:48:39,15:49:19,Ethylene,1.6002,63.6,1.207,1.207,17.59
45,15:50:59,15:51:43,Ethylene,1.6002,34.8,0.661,0.661,16.65
45,15:50:59,15:51:43,Ethylene,1.6002,34.8,0.661,0.661,16.65
45,17:11:46,17:12:37,Ethylene,0.762,219,4.158,4.158,33.57
45,17:11:46,17:12:37,Ethylene,0.762,221.4,4.203,4.203,33.57
45,17:15:05,17:15:32,Ethylene,0.762,109.2,2.073,2.073,34.51
45,17:15:05,17:15:32,Ethylene,0.762,109.2,2.073,2.073,35.45
45,17:20:46,17:21:17,Ethylene,0.762,231.6,4.397,4.397,58.02
45,17:20:47,17:21:17,Ethylene,0.762,231.6,4.397,4.397,58.96
45,17:23:03,17:23:30,Ethylene,0.762,114.6,2.176,2.176,57.08
45,17:23:03,17:23:30,Ethylene,0.762,114,2.164,2.164,57.08
45,17:27:48,17:28:21,Ethylene,0.762,201,3.816,3.816,17.59
45,17:27:48,17:28:21,Ethylene,0.762,199.2,3.782,3.782,18.53
45,17:29:49,17:30:24,Ethylene,0.762,99,1.879,1.879,16.65
45,17:29:48,17:30:24,Ethylene,0.762,114,2.164,2.164,16.65
48,14:32:05,14:32:22,Ethylene,0.4064,193.8,3.679,3.679,35.45
48,14:33:57,14:34:33,Ethylene,0.4064,192,3.645,3.645,35.45
48,14.34.57,,Ethylene,0.4064,192,3.645,3.645,35.45
48,14:43:57,14:44:16,Ethylene,0.4064,118.8,2.255,2.255,58.02
48,14.43.58,14.44.16,Ethylene,0.4064,118.8,2.255,2.255,
48,14:48:19,14:51:56,Ethylene,0.4064,61.2,1.162,1.162,17.59
48,14:48:19,14:51:56,Ethylene,0.4064,120.6,2.29,2.29,16.65
48,14:48:19,14:51:56,Ethylene,0.4064,180.6,3.429,3.429,15.71
48,14:48:19,14:51:56,Ethylene,0.4064,31.2,0.592,0.592,15.71
48,14:48:19,14:51:56,Ethylene,0.4064,88.8,1.686,1.686,15.71
48,14.48.19,14.51.56,Ethylene,0.4064,60.6,1.15,1.15,17.59
48,14.48.19,14.51.56,Ethylene,0.4064,61.2,1.162,1.162,17.59
48,14.48.19,14.51.56,Ethylene,0.4064,120.6,2.29,2.29,17.59
48,14.48.19,14.51.56,Ethylene,0.4064,179.4,3.406,3.406,16.65
48,14.48.19,14.51.56,Ethylene,0.4064,31.2,0.592,0.592,15.71
48,14.48.19,14.51.56,Ethylene,0.4064,90,1.709,1.709,15.71
48,14.48.19,14.51.56,Ethylene,0.4064,88.8,1.686,1.686,15.71
48,16:53:44,16:55:09,Propane,1.6002,92.52,2.761,2.761,42.97
48,16.53.45,16.55.09,Propane,1.6002,,,0,
48,17:01:35,17:03:04,Propane,1.6002,91.08,2.718,2.718,46.73
48,17:01:35,17:03:04,Propane,1.6002,45.72,1.364,1.364,45.79
48,17.01.36,17.03.04,Propane,1.6002,91.08,2.718,2.718,46.73
48,17.01.36,17.03.04,Propane,1.6002,45.72,1.364,1.364,
48,17:11:21,17:13:33,Propane,1.6002,78.84,2.352,2.352,35.45
48,17:11:21,17:13:33,Propane,1.6002,39.24,1.171,1.171,35.45
48,17.11.21,17.13.33,Propane,1.6002,78.48,2.342,2.342,36.39
48,17.11.21,17.13.33,Propane,1.6002,38.88,1.16,1.16,
48,1744,,Propane,1.6002,59.4,1.772,1.772,22.29
48,1746,,Propane,1.6002,29.16,0.87,0.87,22.29
48,17.44.38,17.46.41,Propane,1.6002,59.04,1.762,1.762,22.29
48,17.44.38,17.46.41,Propane,1.6002,29.16,0.87,0.87,
52,11:38:51,11:40:46,Propane,0.762,113.04,3.373,3.373,33.57
52,11:38:51,11:40:46,Propane,0.762,56.52,1.686,1.686,34.51
52,11.38.51,11.40.46,Propane,0.762,113.4,3.384,3.384,32.63
52,11.38.51,11.40.46,Propane,0.762,56.88,1.697,1.697,
52,11:42:49,11:44:22,Propane,0.762,83.52,2.492,2.492,20.41
52,11:42:49,11:44:22,Propane,0.762,41.4,1.235,1.235,21.35
52,11.42.50,11.44.21,Propane,0.762,83.52,2.492,2.492,20.41
52,11.42.50,11.44.21,Propane,0.762,41.4,1.235,1.235,
52,11:49:35,11:50:44,Propane,0.762,69.12,2.062,2.062,15.71
