Flame Type,Day,Fuel,Test,Xf  before test,Xf  after test,approx p (bar),XO2,HC burnrate (mg/s),O2 flow rate (mg/s),TFP,Tad (K),Zst,Hot ignition,burn time (sec),Self -ext or flow term,Peak burner Temp (C),Peak burner temp (K),Color,Comments
Inverse,1,ethane,21196 A1,0.298100,0.298100,1.10,0.21,1.5,5.59,No,2120,0.1665,No,0,-,27.1,300.25,-,Failed to ignite
Inverse,1,ethane,21196 A2,0.298100,0.295425,1.10,0.21,1.5,5.59,No,2120,0.1665,Yes,35,FT,162.9,436.05,yellow,
Inverse,1,ethane,21196 F1,0.295424848,0.291765297,1.1033,0.15,1.5,5.58675424,No,1786.994366,0.126728327,Yes,36,FT,118.5,391.65,blue,Not spherical shape
Inverse,1,ethane,21196 H1,0.291765297,0.291765297,1.1033,0.12,1.5,5.58675424,No,1567.030825,0.105556515,No,0,-,26.7,299.85,-,Not ignited
Inverse,1,ethane,21196 J1,0.291765297,0.291653541,1.1033,0.135,1.5,5.58675424,No,1680.718299,0.116987922,flash,1,SE,27.8,300.95,-,Not lasted long
Inverse,1,ethane,21196 F2,0.291653541,0.288335586,1.1033,0.15,0.75,2.79337712,No,1785.119116,0.128126732,Yes,66,FT,169.2,442.35,blue,
Inverse,1,ethane,21196 F3,0.288335586,0.288310452,1.1033,0.15,0.375,1.39668856,No,1783.432003,0.129383451,flash,1,SE,39.9,313.05,-,A flash and gone
Inverse,1,ethane,21196 F4,0.288310452,0.288272755,1.1033,0.15,0.5625,2.09503284,No,1783.419087,0.129393068,flash,1,SE,66.1,339.25,-,Not lasted long
Inverse,1,ethane,21196 F5,0.288272755,0.28810939,1.1033,0.15,2.439,9.084062394,No,1783.399711,0.129407493,flash,1,SE,28.4,301.55,-,Not lasted long
Inverse,1,ethane,21196 F6,0.28810939,0.284828889,1.1033,0.15,0.75,2.79337712,No,1783.315686,0.129470046,Yes,66,FT,167.3,440.45,blue,Repeat of F2
Inverse,1,ethane,21196 K1,0.284828889,0.284718228,0.4953817,0.15,0.75,2.79337712,No,1781.609691,0.130739408,flash,1,SE,63.5,336.65,-,Not lasted long
Inverse,1,ethane,21196 L1,0.284718228,0.284635929,0.4953817,0.21,0.75,2.79337712,No,2111.04677,0.172800669,flash,1,SE,122.9,396.05,-,Not lasted long
Inverse,1,ethane,21196 L2,0.284635929,0.279534884,0.4953817,0.21,0.75,2.79337712,No,2110.98997,0.17284115,Yes,63,FT,273.7,546.85,blue,
Inverse,1,ethane,21196 M1,0.279534884,0.279474794,0.4953817,0.3,0.75,2.79337712,No,2401.004197,0.230837563,flash,1,SE,136.4,409.55,-,Not lasted long
Inverse,1,ethane,21196 M2,0.279474794,0.275557001,0.4953817,0.3,0.75,2.79337712,No,2400.958103,0.230874969,Yes,66,FT,515.2,788.35,blue,
Inverse,1,ethane,21196 M2_1,0.275557001,0.268135774,0.4953817,0.3,1.5,5.58675424,No,2397.909121,0.233340944,Yes,64,FT,515.3,788.45,blue,
Inverse,2,ethane,21202 A1,0.06,0.06,2.2066,0.85,0.25,0.931125707,No,2077.502017,0.783870758,no,0,-,26.5,299.65,-,No ignition
Inverse,2,ethane,21202 A2,0.06,0.059996273,2.2066,0.85,0.5,1.862251413,No,2077.502017,0.783870758,Yes,2,SE,62.3,335.45,blue,"Ignited, but lasted short."
Inverse,2,ethane,21202 A3,0.059996273,0.059983229,2.2066,0.85,1,3.724502827,No,2077.445204,0.783881235,Yes,3.5,SE,50.6,323.75,blue,
Inverse,2,ethane,21202 A4,0.059983229,0.059937793,2.2066,0.85,2.439,9.084062394,No,2077.246332,0.783917907,Yes,5,SE,44.6,317.75,blue,
Inverse,2,ethane,21202 H1,0.12,0.119858746,2.2066,0.85,1.0,3.724502827,No,2566.535755,0.645563961,Yes,28,SE,214.1,487.25,limit,
Inverse,2,ethane,21202 H2,0.119858746,0.119662048,2.2066,0.85,2.439,9.084062394,No,2565.96006,0.645831058,Yes,16,SE,107.6,380.75,limit,
Inverse,2,ethane,21202 H3,0.119662048,0.119495835,2.2066,0.85,0.5,1.862251413,No,2565.156105,0.646203374,Yes,66,FT,469.1,742.25,blue,Flow timed out
Inverse,2,ethane,21202 H4,0.119495835,0.119341058,2.2066,0.85,0.75,2.79337712,No,2564.474659,0.646518332,Yes,41,SE,301.2,574.35,blue,
Inverse,2,ethane,21202 J1,0.119341058,0.119141157,2.2066,0.85,0.75,2.79337712,Yes,2563.838376,0.646811899,Yes,53,SE,327.8,600.95,blue,
Inverse,2,ethane,21202 K1,0.119141157,0.118589306,1.1033,0.85,1.0,3.724502827,No,2563.014104,0.647191461,Yes,55,SE,275.7,548.85,blue,
Inverse,2,ethane,21202 K2,0.118589306,0.118076549,1.1033,0.85,2.439,9.084062394,No,2560.723976,0.648241659,Yes,21,SE,113.4,386.55,blue,
Inverse,2,ethane,21202 L1,0.118076549,0.117577094,1.1033,0.85,1,3.724502827,Yes,2558.57659,0.649220596,Yes,50,SE,255.6,528.75,blue,
Inverse,3,ethane,21209 A1,0.24,0.238982459,0.55165,0.85,1,3.724502827,No,2820.983248,0.478798757,Yes,26,FT,544.1,817.25,limit,"Burner T limit, most images lost"
Inverse,3,ethane,21209 A2,0.238982459,0.238982459,0.55165,0.85,2.435,9.069164383,No,2819.838789,0.47984081,No,0,-,25.7,298.85,-,Aborted
