Flame Type,Day,Fuel,Test,Cool flame?, XO2 before test,XO2  after test,approx p (bar),Xf,mHC (mg/s),TFP,Tad (K),Zst,Hot ignition,burn time (sec),Self-ext or flow term,Peak burner T (C ),Comments
Normal,1,ethane,21088A1,,0.3939,0.389822946,0.9443956,1,2,No,2719.323211,0.102651783,Yes,50,SE,290.617198,
Normal,1,ethane,21088 B1,,0.389822946,0.386321188,0.9443956,1,2,Yes,2713.594987,0.101747543,Yes,43,SE,276.009368,
Normal,1,ethane,21088 C1,,0.386321188,0.382905163,0.9443956,1,2,Yes,2708.596221,0.100968644,Yes,42,SE,266.374008,hit burner T limit
Normal,1,ethane,21088 D1,,0.382905163,0.380426741,0.9443956,1,1,Yes,2703.647801,0.100206801,Yes,61,FT,459.195642,FC=flow cut
Normal,1,ethane,21088 F1,,0.380426741,0.379858042,0.9443956,1,0.5,Yes,2700.011998,0.099652813,Yes,28,FT,532.162657,Lowest flow rate for ignition
Normal,1,ethane,21088 G1,,0.379858042,0.376135171,0.9443956,0.5,2,No,2639.215662,0.175931996,Yes,42,SE,226.739332,
Normal,1,ethane,21088 H1,,0.376135171,0.373391583,0.9443956,0.5,1,Yes,2633.824861,0.174581055,Yes,62,FT,416.786789,
Normal,1,ethane,21088 J1,,0.373391583,0.369578072,0.9443956,0.25,2,Yes,2512.315217,0.292108087,Yes,37,SE,164.051351,
Normal,1,ethane,21088 K1,,0.369578072,0.364549879,0.9443956,0.25,1,Yes,2506.607152,0.29009599,Yes,98,FT,340.169199,
Normal,1,ethane,21088 H2,,0.364549879,0.358975632,0.9443956,0.5,1,Yes,2616.399176,0.170339735,Yes,127,FT,421.915051,
Normal,1,ethane,21088 M4,,0.2101,0.209638709,1.0133,1,1,Yes,2256.600629,0.058881505,Yes,13,SE,125.225207,
Normal,1,ethane,21088 L1,,0.209638709,0.209000159,1.0133,1,2,No,2254.430202,0.058763347,Yes,9,SE,80.8277263,
Normal,1,ethane,21088 N1,,0.1802,0.179685675,1.0133,0.5,2,Yes,2042.838447,0.094270919,Yes,7,SE,53.3353079,
Normal,1,ethane,21088 P1,,0.179685675,0.17939183,1.0133,0.5,1,Yes,2039.856766,0.09403323,Yes,8,SE,74.1763366,
Normal,2,50% butane,21102A1,,0.3957,0.393031985,1.0133,0.25,1.6,No,2633.037949,0.226286935,Yes,40,SE,231,Manually stopped the flow. No cool flame detected.
Normal,2,50% butane,21102 C1,,0.393031985,0.390548195,1.0133,0.5,1.6,No,2693.534385,0.149712142,Yes,41,SE,269,Extinction detected. Fuel flow stopped in 6 sec after PMT dropped to 0.
Normal,2,50% butane,21102 B1,,0.390548195,0.388126117,1.0133,0.125,1.3,No,2501.08662,0.340607747,Yes,38,SE,196,
Normal,2,50% butane,21102 C2,,0.388126117,0.386221513,1.0133,0.5,0.8,No,2686.707285,0.148203665,Yes,63,FT,505,
Normal,2,50% butane,21102 C3,,0.386221513,0.382509153,1.0133,0.5,1.2,No,2684.020784,0.147616047,Yes,82,SE,388,
Normal,2,50% butane,21102 C4,,0.382509153,0.382509153,1.0133,0.5,0.8,No,2678.72461,0.146467485,No,0,-,-,Igniter voltage: 2V and 2.5V for 10 sec each. No ignition.Retracted too early.
