Year,Month,Date,Burner Size (mm),Fuel Bottle,Oxygen Conc (percent),Flames Ignited,Notes
2019,Feb,8,25,100% C2H4,21; 26.5; 40,10,Oxygen Conc. (as diluted with nitrogen on a volume basis) was varied between tests where approximate concentrations for tests that ignited are listed. The chamber pressures were also varied but are not identified in this summary table.
2019,Feb,20,25,100% C2H4,26.5; 34,8,Flames Ignited is the number ignited on that day (neglecting the day change on ISS).
2019,Feb,25,25,50% C2H4,21; 26.5; 34; 40,8,
2019,March,4,25,50% C2H4,26.5; 40,6,
2019,March,7,25,50% C2H4,3400%,6,
2019,March,11,25,50% C2H4,26.5; 34,7,
2019,March,28,25,100%C2H4,26.5; 34,8,
2019,April,1,25,100%C2H4,2100%,0,
2019,April,4,25,100%C2H4,21; 26.5; 34,9,
2020,Sept,3,50,100% C2H4,25; 34; 40,13,
2020,Oct,17,25,100% C2H4,26.5; 34,13,
2020,Dec,5,25,100% CH4,25; 34; 40,21,
2020,Dec,4,25,100% CH4,25; 40,18,
2020,Dec,11,25,50% C2H4,25; 40,12,
2020,Dec,17,25,100% C2H4,34; 40,10,
2020,Dec,23,25,100% C2H4,25; 34; 40,17,
2021,Jan,20,25,100% C2H4,21; 26.5; 34,15,
2021,Jan,28,50,100% C2H4,25; 34; 40,13,
