test_id,fuel_raw,nozzle_mm,pressure_pa,xf,fuel_display,air_display,fan_setting,smoke_point_pixels,smoke_point_mm,flame_width_mm,tad_k,total_fuel_sccm,hc_only_sccm,mdot_total_mg_s,mdot_hc_mg_s,coflow_velocity_cm_s,fuel_jet_velocity_cm_s,series,platform,fuel,fuel_fraction,investigation,source,gravity
E16-1,Ethylene,1.6002,101325.0,1.0,285.0,68.0,141.0,193.0,75.35479859047882,6.432667726110689,2367.4,171.0,171.0,3.3125514168803085,3.3125514168803085,58.01627655328171,141.71194099172226,spice_flight,ISS,ethylene,1.0,PSI-107,experiment,microgravity
E16-2,Ethylene,1.6002,101325.0,1.0,207.0,42.0,99.0,286.0,53.98915221446832,5.973191459959926,2367.4,124.19999999999999,124.19999999999999,2.4059583975235923,2.4059583975235923,33.57067655604959,102.9276202992509,spice_flight,ISS,ethylene,1.0,PSI-107,experiment,microgravity
E16-3,Ethylene,1.6002,101325.0,1.0,211.0,48.0,48.0,278.0,55.827057279071376,6.432667726110689,2367.4,126.6,126.6,2.452450347234193,2.452450347234193,39.21196886310316,104.91655982194175,spice_flight,ISS,ethylene,1.0,PSI-107,experiment,microgravity
E16-4,Ethylene,1.6002,101325.0,1.0,209.0,45.0,96.0,271.0,57.50449397145488,7.1228727628533335,2367.4,125.39999999999999,125.39999999999999,2.4292043723788925,2.4292043723788925,36.39132270957638,103.92209006059632,spice_flight,ISS,ethylene,1.0,PSI-107,experiment,microgravity
E16-5,Ethylene,1.6002,101325.0,1.0,140.0,26.0,65.0,360.0,36.988530366890075,5.743453326884544,2367.4,84.0,84.0,1.6272182398710289,1.6272182398710289,18.527230403906753,69.61288329417935,spice_flight,ISS,ethylene,1.0,PSI-107,experiment,microgravity
E7-1,Ethylene,0.762,101325.0,1.0,335.0,25.0,66.0,63.0,105.22075589027845,6.202929593035308,2367.4,201.0,201.0,3.8937007882628185,3.8937007882628185,17.587015019397825,734.5899509618278,spice_flight,ISS,ethylene,1.0,PSI-107,experiment,microgravity
P16-1,Propane,1.6002,101325.0,1.0,276.0,54.0,100.0,216.0,71.38356793885745,6.76498331156581,2264.12,99.36,99.36,3.0252606995196496,3.0252606995196496,44.85326117015673,82.34209623940073,spice_flight,ISS,propane,1.0,PSI-107,experiment,microgravity
P16-2,Propane,1.6002,101325.0,1.0,230.0,45.0,85.0,260.0,61.11945532820588,6.76498331156581,2264.12,82.8,82.8,2.5210505829330407,2.5210505829330407,36.39132270957638,68.61841353283394,spice_flight,ISS,propane,1.0,PSI-107,experiment,microgravity
P16-3,Propane,1.6002,101325.0,1.0,164.0,30.0,65.0,325.0,45.52258634864961,6.870619704603694,2264.12,59.04,59.04,1.7976186765261684,1.7976186765261684,22.28809194194246,48.92791225819463,spice_flight,ISS,propane,1.0,PSI-107,experiment,microgravity
P7-1,Propane,0.762,101325.0,1.0,350.0,42.0,85.0,62.0,105.45049402335384,7.81109652456298,2264.12,126.0,126.0,3.8363813218546277,3.8363813218546277,33.57067655604959,460.4892229909965,spice_flight,ISS,propane,1.0,PSI-107,experiment,microgravity
