fuel,d0_mm,pressure_atm,source,dext_cool_mm,dext_hot_mm,cool_flame,investigation,gravity
n-decane,2.0,1.0,simulation,0.0,0.0,0,PSI-117,microgravity
n-decane,3.0,1.0,simulation,0.0,0.0,0,PSI-117,microgravity
n-decane,3.763,1.0,experiment,1.11,3.031,1,PSI-117,microgravity
n-decane,3.925,1.0,experiment,1.042,3.37,1,PSI-117,microgravity
n-decane,3.947,1.0,experiment,1.088,3.409,1,PSI-117,microgravity
n-decane,3.948,1.0,experiment,0.661,3.327,1,PSI-117,microgravity
n-decane,4.0,1.0,simulation,0.43,3.41,1,PSI-117,microgravity
n-decane,4.381,1.0,experiment,1.317,3.963,1,PSI-117,microgravity
n-decane,4.395,1.0,experiment,1.052,3.935,1,PSI-117,microgravity
n-decane,5.0,1.0,simulation,0.65,4.85682,1,PSI-117,microgravity
n-decane,6.0,1.0,simulation,0.89,5.95349,1,PSI-117,microgravity
n-decane,7.0,1.0,simulation,0.94,6.98,1,PSI-117,microgravity
n-dodecane,4.039,1.0,experiment,0.497,3.577,1,PSI-117,microgravity
n-dodecane,4.039,1.0,simulation,0.218594,3.69188,1,PSI-117,microgravity
n-dodecane,4.042,1.0,experiment,0.4,3.554,1,PSI-117,microgravity
n-dodecane,4.042,1.0,simulation,0.226994,3.69589,1,PSI-117,microgravity
n-dodecane,4.137,1.0,experiment,0.0,3.571,0,PSI-117,microgravity
n-dodecane,4.137,1.0,simulation,0.2888,3.8303,1,PSI-117,microgravity
n-dodecane,4.408,1.0,experiment,0.0,4.059,0,PSI-117,microgravity
n-dodecane,4.408,1.0,simulation,0.22316,4.197,1,PSI-117,microgravity
n-dodecane,5.0,1.0,simulation,0.32,4.88,1,PSI-117,microgravity
n-dodecane,6.0,1.0,simulation,0.45,5.97,1,PSI-117,microgravity
n-heptane,2.0,1.0,simulation,0.0,0.0,0,PSI-117,microgravity
n-heptane,3.0,1.0,simulation,0.0,0.0,0,PSI-117,microgravity
n-heptane,3.342,1.0,experiment,1.101,2.326,1,PSI-117,microgravity
n-heptane,3.557,1.0,experiment,1.214,2.794,1,PSI-117,microgravity
n-heptane,3.61,1.0,experiment,1.146,2.838,1,PSI-117,microgravity
n-heptane,3.891,1.0,experiment,1.199,3.412,1,PSI-117,microgravity
n-heptane,3.91,1.0,experiment,1.3,3.28,1,PSI-117,microgravity
n-heptane,4.0,1.0,simulation,0.95,3.57624,1,PSI-117,microgravity
n-heptane,5.0,1.0,simulation,1.02,4.78062,1,PSI-117,microgravity
n-heptane,6.0,1.0,simulation,1.2,5.85625,1,PSI-117,microgravity
n-heptane,7.0,1.0,simulation,1.4,6.8908,1,PSI-117,microgravity
