fuel,d0_mm,pressure_atm,xo2,measurement,value,source,error_bar_side,data_file,doi,figure,investigation,gravity
n-dodecane,4.0,0.5,0.21,dext_cool_mm,1.197278912,simulation,,MST_2024_Dext.csv,10.1007/s12217-024-10115-x,Fig. 5,PSI-117,microgravity
n-dodecane,4.0,0.75,0.21,dext_cool_mm,0.414965986,simulation,,MST_2024_Dext.csv,10.1007/s12217-024-10115-x,Fig. 5,PSI-117,microgravity
n-dodecane,4.0,1.0,0.21,dext_cool_mm,0.27,simulation,,MST_2024_Dext.csv,10.1007/s12217-024-10115-x,Fig. 5,PSI-117,microgravity
n-dodecane,4.0,1.25,0.21,dext_cool_mm,0.220136054,simulation,,MST_2024_Dext.csv,10.1007/s12217-024-10115-x,Fig. 5,PSI-117,microgravity
n-dodecane,4.0,3.0,0.21,dext_cool_mm,0.0,simulation,,MST_2024_Dext.csv,10.1007/s12217-024-10115-x,Fig. 5,PSI-117,microgravity
n-dodecane,4.0,0.5,0.21,dext_hot_mm,3.442176871,simulation,,MST_2024_Dext.csv,10.1007/s12217-024-10115-x,Fig. 5,PSI-117,microgravity
n-dodecane,4.0,0.75,0.21,dext_hot_mm,3.68707483,simulation,,MST_2024_Dext.csv,10.1007/s12217-024-10115-x,Fig. 5,PSI-117,microgravity
n-dodecane,4.0,1.0,0.21,dext_hot_mm,3.72139,simulation,,MST_2024_Dext.csv,10.1007/s12217-024-10115-x,Fig. 5,PSI-117,microgravity
n-dodecane,4.0,1.25,0.21,dext_hot_mm,3.74829932,simulation,,MST_2024_Dext.csv,10.1007/s12217-024-10115-x,Fig. 5,PSI-117,microgravity
n-dodecane,4.0,3.0,0.21,dext_hot_mm,3.945578231,simulation,,MST_2024_Dext.csv,10.1007/s12217-024-10115-x,Fig. 5,PSI-117,microgravity
n-dodecane,4.0,0.5,0.21,dext_cool_mm,1.947105678,experiment,,MST_2024_Dext.csv,10.1007/s12217-024-10115-x,Fig. 5,PSI-117,microgravity
n-dodecane,4.0,0.5,0.21,dext_cool_mm,1.815514531,experiment,,MST_2024_Dext.csv,10.1007/s12217-024-10115-x,Fig. 5,PSI-117,microgravity
n-dodecane,4.0,0.5,0.21,dext_cool_mm,1.753104633,experiment,,MST_2024_Dext.csv,10.1007/s12217-024-10115-x,Fig. 5,PSI-117,microgravity
n-dodecane,4.0,0.75,0.21,dext_cool_mm,0.906443529,experiment,,MST_2024_Dext.csv,10.1007/s12217-024-10115-x,Fig. 5,PSI-117,microgravity
n-dodecane,4.0,0.75,0.21,dext_cool_mm,0.816118188,experiment,,MST_2024_Dext.csv,10.1007/s12217-024-10115-x,Fig. 5,PSI-117,microgravity
n-dodecane,4.0,1.0,0.21,dext_cool_mm,0.513770647,experiment,,MST_2024_Dext.csv,10.1007/s12217-024-10115-x,Fig. 5,PSI-117,microgravity
n-dodecane,4.0,1.0,0.21,dext_cool_mm,0.414665152,experiment,,MST_2024_Dext.csv,10.1007/s12217-024-10115-x,Fig. 5,PSI-117,microgravity
n-dodecane,4.0,1.0,0.21,dext_cool_mm,0.323172128,experiment,,MST_2024_Dext.csv,10.1007/s12217-024-10115-x,Fig. 5,PSI-117,microgravity
n-dodecane,4.0,1.25,0.21,dext_cool_mm,0.405990889,experiment,,MST_2024_Dext.csv,10.1007/s12217-024-10115-x,Fig. 5,PSI-117,microgravity
n-dodecane,4.5,0.5,0.21,k_cool_mm2_s,0.315175121,experiment,,MST_2024_Kavg.csv,10.1007/s12217-024-10115-x,Fig. 4,PSI-117,microgravity
n-dodecane,4.5,0.5,0.21,k_cool_mm2_s,0.315175121,experiment,,MST_2024_Kavg.csv,10.1007/s12217-024-10115-x,Fig. 4,PSI-117,microgravity
n-dodecane,4.5,0.5,0.21,k_cool_mm2_s,0.329710005,experiment,,MST_2024_Kavg.csv,10.1007/s12217-024-10115-x,Fig. 4,PSI-117,microgravity
n-dodecane,4.5,0.5,0.21,k_cool_mm2_s,0.332616982,experiment,,MST_2024_Kavg.csv,10.1007/s12217-024-10115-x,Fig. 4,PSI-117,microgravity
n-dodecane,4.5,0.75,0.21,k_cool_mm2_s,0.369273871,experiment,,MST_2024_Kavg.csv,10.1007/s12217-024-10115-x,Fig. 4,PSI-117,microgravity
n-dodecane,4.5,1.0,0.21,k_cool_mm2_s,0.365233085,experiment,,MST_2024_Kavg.csv,10.1007/s12217-024-10115-x,Fig. 4,PSI-117,microgravity
n-dodecane,4.5,1.0,0.21,k_cool_mm2_s,0.383838614,experiment,,MST_2024_Kavg.csv,10.1007/s12217-024-10115-x,Fig. 4,PSI-117,microgravity
n-dodecane,4.5,1.0,0.21,k_cool_mm2_s,0.390233085,experiment,,MST_2024_Kavg.csv,10.1007/s12217-024-10115-x,Fig. 4,PSI-117,microgravity
n-dodecane,4.5,1.0,0.21,k_cool_mm2_s,0.401281353,experiment,,MST_2024_Kavg.csv,10.1007/s12217-024-10115-x,Fig. 4,PSI-117,microgravity
n-dodecane,4.5,1.0,0.21,k_cool_mm2_s,0.407675824,experiment,,MST_2024_Kavg.csv,10.1007/s12217-024-10115-x,Fig. 4,PSI-117,microgravity
n-dodecane,4.5,1.25,0.21,k_cool_mm2_s,0.404795194,experiment,,MST_2024_Kavg.csv,10.1007/s12217-024-10115-x,Fig. 4,PSI-117,microgravity
n-dodecane,4.5,1.25,0.21,k_cool_mm2_s,0.407121654,experiment,,MST_2024_Kavg.csv,10.1007/s12217-024-10115-x,Fig. 4,PSI-117,microgravity
