fuel,fuel_mass_fraction,extinction_strain_rate_1_s,data_id,extinction_type,ozone,publication,figure,investigation,source,gravity
n-tetradecane,0.12067508387328092,85.09,data ID 1,cool,False,"C.B. Reuter et al., Combustion and Flame 179 (2017) 23-32",Fig. 4,PSI-142,experiment,1g
n-tetradecane,0.15053784840735177,105.8,data ID 1,cool,False,"C.B. Reuter et al., Combustion and Flame 179 (2017) 23-32",Fig. 4,PSI-142,experiment,1g
n-tetradecane,0.10683053160956824,69.08,data ID 1,cool,False,"C.B. Reuter et al., Combustion and Flame 179 (2017) 23-32",Fig. 4,PSI-142,experiment,1g
n-tetradecane,0.139678963672205,93.96,data ID 1,cool,False,"C.B. Reuter et al., Combustion and Flame 179 (2017) 23-32",Fig. 4,PSI-142,experiment,1g
n-tetradecane,0.07924166577910322,56.64,data ID 1,cool,False,"C.B. Reuter et al., Combustion and Flame 179 (2017) 23-32",Fig. 4,PSI-142,experiment,1g
n-tetradecane,0.16326851460632205,114.62,data ID 1,cool,False,"C.B. Reuter et al., Combustion and Flame 179 (2017) 23-32",Fig. 4,PSI-142,experiment,1g
n-tetradecane,0.1767041020595121,129.66,data ID 1,cool,False,"C.B. Reuter et al., Combustion and Flame 179 (2017) 23-32",Fig. 4,PSI-142,experiment,1g
n-dodecane,0.12133421226442648,83.35,data ID 1,cool,False,"C.B. Reuter et al., Combustion and Flame 179 (2017) 23-32",Fig. 4,PSI-142,experiment,1g
n-dodecane,0.15326351414263678,102.26,data ID 1,cool,False,"C.B. Reuter et al., Combustion and Flame 179 (2017) 23-32",Fig. 4,PSI-142,experiment,1g
n-dodecane,0.10284974642985975,70.9,data ID 1,cool,False,"C.B. Reuter et al., Combustion and Flame 179 (2017) 23-32",Fig. 4,PSI-142,experiment,1g
n-dodecane,0.1373011494325556,93.99,data ID 1,cool,False,"C.B. Reuter et al., Combustion and Flame 179 (2017) 23-32",Fig. 4,PSI-142,experiment,1g
n-dodecane,0.07790144145930936,56.65,data ID 1,cool,False,"C.B. Reuter et al., Combustion and Flame 179 (2017) 23-32",Fig. 4,PSI-142,experiment,1g
n-dodecane,0.046868483248794515,44.53,data ID 1,cool,False,"C.B. Reuter et al., Combustion and Flame 179 (2017) 23-32",Fig. 4,PSI-142,experiment,1g
