flame_type,test_day,fuel_raw,test_id,xo2_before,xo2_after,pressure_bar,xf_jet,fuel_flow_mg_s,tfp,tad_k,zst,hot_ignition,burn_time_s,outcome_raw,peak_burner_temp_c,comments,cool_flame_note,xf_ambient_before,xf_ambient_after,xo2_jet,o2_flow_mg_s,flame_color,fuel,fuel_dilution,self_extinguished,investigation,source,gravity
normal,1.0,ethane,21088A1,0.3939,0.389822946,0.9443956,1.0,2.0,no,2719.323211,0.102651783,yes,50.0,SE,290.617198,,,,,,,,ethane,1.0,1,PSI-159,experiment,microgravity
normal,1.0,ethane,21088 B1,0.389822946,0.386321188,0.9443956,1.0,2.0,yes,2713.594987,0.101747543,yes,43.0,SE,276.009368,,,,,,,,ethane,1.0,1,PSI-159,experiment,microgravity
normal,1.0,ethane,21088 C1,0.386321188,0.382905163,0.9443956,1.0,2.0,yes,2708.596221,0.100968644,yes,42.0,SE,266.374008,hit burner T limit,,,,,,,ethane,1.0,1,PSI-159,experiment,microgravity
normal,1.0,ethane,21088 D1,0.382905163,0.380426741,0.9443956,1.0,1.0,yes,2703.647801,0.100206801,yes,61.0,FT,459.195642,FC=flow cut,,,,,,,ethane,1.0,0,PSI-159,experiment,microgravity
normal,1.0,ethane,21088 F1,0.380426741,0.379858042,0.9443956,1.0,0.5,yes,2700.011998,0.099652813,yes,28.0,FT,532.162657,Lowest flow rate for ignition,,,,,,,ethane,1.0,0,PSI-159,experiment,microgravity
normal,1.0,ethane,21088 G1,0.379858042,0.376135171,0.9443956,0.5,2.0,no,2639.215662,0.175931996,yes,42.0,SE,226.739332,,,,,,,,ethane,1.0,1,PSI-159,experiment,microgravity
normal,1.0,ethane,21088 H1,0.376135171,0.373391583,0.9443956,0.5,1.0,yes,2633.824861,0.174581055,yes,62.0,FT,416.786789,,,,,,,,ethane,1.0,0,PSI-159,experiment,microgravity
normal,1.0,ethane,21088 J1,0.373391583,0.369578072,0.9443956,0.25,2.0,yes,2512.315217,0.292108087,yes,37.0,SE,164.051351,,,,,,,,ethane,1.0,1,PSI-159,experiment,microgravity
normal,1.0,ethane,21088 K1,0.369578072,0.364549879,0.9443956,0.25,1.0,yes,2506.607152,0.29009599,yes,98.0,FT,340.169199,,,,,,,,ethane,1.0,0,PSI-159,experiment,microgravity
normal,1.0,ethane,21088 H2,0.364549879,0.358975632,0.9443956,0.5,1.0,yes,2616.399176,0.170339735,yes,127.0,FT,421.915051,,,,,,,,ethane,1.0,0,PSI-159,experiment,microgravity
normal,1.0,ethane,21088 M4,0.2101,0.209638709,1.0133,1.0,1.0,yes,2256.600629,0.058881505,yes,13.0,SE,125.225207,,,,,,,,ethane,1.0,1,PSI-159,experiment,microgravity
normal,1.0,ethane,21088 L1,0.209638709,0.209000159,1.0133,1.0,2.0,no,2254.430202,0.058763347,yes,9.0,SE,80.8277263,,,,,,,,ethane,1.0,1,PSI-159,experiment,microgravity
normal,1.0,ethane,21088 N1,0.1802,0.179685675,1.0133,0.5,2.0,yes,2042.838447,0.094270919,yes,7.0,SE,53.3353079,,,,,,,,ethane,1.0,1,PSI-159,experiment,microgravity
normal,1.0,ethane,21088 P1,0.179685675,0.17939183,1.0133,0.5,1.0,yes,2039.856766,0.09403323,yes,8.0,SE,74.1763366,,,,,,,,ethane,1.0,1,PSI-159,experiment,microgravity
normal,2.0,50% butane,21102A1,0.3957,0.393031985,1.0133,0.25,1.6,no,2633.037949,0.226286935,yes,40.0,SE,231.0,Manually stopped the flow. No cool flame detected.,,,,,,,butane,0.5,1,PSI-159,experiment,microgravity
normal,2.0,50% butane,21102 C1,0.393031985,0.390548195,1.0133,0.5,1.6,no,2693.534385,0.149712142,yes,41.0,SE,269.0,Extinction detected. Fuel flow stopped in 6 sec after PMT dropped to 0.,,,,,,,butane,0.5,1,PSI-159,experiment,microgravity
normal,2.0,50% butane,21102 B1,0.390548195,0.388126117,1.0133,0.125,1.3,no,2501.08662,0.340607747,yes,38.0,SE,196.0,,,,,,,,butane,0.5,1,PSI-159,experiment,microgravity
normal,2.0,50% butane,21102 C2,0.388126117,0.386221513,1.0133,0.5,0.8,no,2686.707285,0.148203665,yes,63.0,FT,505.0,,,,,,,,butane,0.5,0,PSI-159,experiment,microgravity
normal,2.0,50% butane,21102 C3,0.386221513,0.382509153,1.0133,0.5,1.2,no,2684.020784,0.147616047,yes,82.0,SE,388.0,,,,,,,,butane,0.5,1,PSI-159,experiment,microgravity
normal,2.0,50% butane,21102 C5,0.382509153,0.381212087,1.0133,0.5,0.8,no,2678.72461,0.146467485,yes,43.0,FT,449.0,Igniter voltage: 2.25V and 2.75V for 10 sec each. No ignition.,,,,,,,butane,0.5,0,PSI-159,experiment,microgravity
normal,2.0,50% butane,21102 C7,0.381212087,0.380669262,1.0133,0.5,0.8,no,2676.855135,0.146065187,yes,18.0,FT,298.0,Igniter voltage: 2.1V and 2.6V for 10 sec each. Hot flame.,,,,,,,butane,0.5,0,PSI-159,experiment,microgravity
normal,2.0,50% butane,21102 M1,0.2341,0.233649188,1.0133,0.5,1.6,no,2336.982762,0.096794751,yes,8.0,SE,75.0,,,,,,,,butane,0.5,1,PSI-159,experiment,microgravity
normal,2.0,50% butane,21102 M2,0.233649188,0.233254802,1.0133,0.5,0.8,no,2335.25391,0.096631781,yes,14.0,SE,139.0,may have intensified images,,,,,,,butane,0.5,1,PSI-159,experiment,microgravity
normal,3.0,50% butane,21106A4,0.3926,0.384638613,0.50665,0.25,1.6,no,2628.957655,0.224985684,yes,60.0,SE,283.0,hot ig,,,,,,,butane,0.5,1,PSI-159,experiment,microgravity
normal,3.0,50% butane,21106 B1,0.384638613,0.377171369,0.50665,0.5,1.6,no,2681.772338,0.147126835,yes,62.0,SE,316.0,,,,,,,,butane,0.5,1,PSI-159,experiment,microgravity
normal,3.0,50% butane,21106 C1,0.377171369,0.369281404,0.50665,0.125,1.3,no,2482.423373,0.333225101,yes,63.0,SE,242.0,,,,,,,,butane,0.5,1,PSI-159,experiment,microgravity
normal,3.0,50% butane,21106 D1,0.369281404,0.358532281,0.50665,0.5,1.2,no,2659.169725,0.142340213,yes,120.0,SE,404.0,,,,,,,,butane,0.5,1,PSI-159,experiment,microgravity
normal,3.0,50% butane,21106 F1,0.358532281,0.35424096,0.50665,0.5,0.8,no,2642.41109,0.138945776,yes,72.0,FT,505.0,hit T limit,,,,,,,butane,0.5,0,PSI-159,experiment,microgravity
normal,3.0,50% butane,21106 F3,0.35424096,0.353756802,0.50665,0.5,0.5,no,2635.478932,0.137580333,yes,13.0,FT,313.0,hot flame,,,,,,,butane,0.5,0,PSI-159,experiment,microgravity
normal,3.0,50% butane,21106 F4,0.353756802,0.352937762,0.50665,0.5,0.5,no,2634.687627,0.137425909,no,22.0,FT,402.0,hot flame,,,,,,,butane,0.5,0,PSI-159,experiment,microgravity
normal,3.0,50% butane,21106 G6,0.2097,0.208586481,0.50665,0.5,0.8,no,2233.365664,0.087858915,yes,20.0,SE,195.0,"hot flame, the igniter stayed in the flame longer than others.",,,,,,,butane,0.5,1,PSI-159,experiment,microgravity
normal,3.0,50% butane,21106 G7,0.208586481,0.207473561,0.50665,0.5,0.8,no,2228.11818,0.087445445,yes,20.0,SE,204.0,"hot flame, the igniter stayed in the flame longer than others.",,,,,,,butane,0.5,1,PSI-159,experiment,microgravity
normal,3.0,50% butane,21106 G9,0.207473561,0.206694811,0.50665,0.5,0.8,no,2222.825542,0.087031696,yes,14.0,SE,129.0,hot flame,,,,,,,butane,0.5,1,PSI-159,experiment,microgravity
normal,4.0,propane,21112A1,0.3954,0.3940449,0.9443956,1.0,0.8,no,2729.986983,0.105434724,yes,43.0,FT,513.074689,1 bottle 100% propane,,,,,,,propane,1.0,0,PSI-159,experiment,microgravity
normal,4.0,propane,21112 A2,0.3940449,0.391274328,0.9443956,1.0,1.6,no,2728.07951,0.105128534,yes,44.0,SE,306.401465,,,,,,,,propane,1.0,1,PSI-159,experiment,microgravity
normal,4.0,propane,21112 A3,0.391274328,0.386794842,0.9443956,1.0,1.2,no,2724.147584,0.104501512,yes,95.0,SE,423.011622,,,,,,,,propane,1.0,1,PSI-159,experiment,microgravity
normal,4.0,propane,21112 A4,0.386794842,0.379543758,0.9443956,1.0,1.0,no,2717.697955,0.103484882,yes,185.0,FT,472.323053,,,,,,,,propane,1.0,0,PSI-159,experiment,microgravity
normal,4.0,propane,21112 A5,0.379543758,0.377663625,0.9443956,1.0,2.0,no,2707.007929,0.101831712,yes,24.0,SE,201.343312,,,,,,,,propane,1.0,1,PSI-159,experiment,microgravity
