principal_investigator,test_id,test_date,gmt_day,sample_number,material_raw,flow_restrictor,fan_display_raw,air_display_raw,radiometer_gain,frames_shot_raw,o2_initial_pct,o2_final_pct,co2_initial_pct,co2_final_pct,co_initial_ppm,co_final_ppm,material_family,material_form,thickness_mm,width_cm,exposed_faces,sample_color,diameter_mm,outcome,flow_ramp_ambiguous,flow_steps,flow_first,flow_min,flow_max,flow_decreasing,o2_initial_pct_censored,o2_final_pct_censored,co2_initial_pct_censored,co2_final_pct_censored,co_initial_ppm_censored,co_final_ppm_censored,o2_gained,co_negative,o2_consumed_pct,fan_display,frames_shot,investigation,source,gravity
Bhattacharjee,B1,2/19/2014,50,147,100 micron PMMA film 2 cm wide,2,62,5,50,57,22.2,22.2,0.44,0.44,0.0,6.0,PMMA,sheet,0.1,2.0,,,,,False,1.0,5.0,5.0,5.0,,False,False,False,False,False,False,False,False,0.0,62.0,57.0,PSI-25,experiment,microgravity
Bhattacharjee,B2,2/19/2014,50,155,200 micron PMMA film 2 cm wide,2,62,5,50,none,22.2,1.6,0.44,,6.0,,PMMA,sheet,0.2,2.0,,,,,False,1.0,5.0,5.0,5.0,,False,False,False,False,False,False,False,,20.599999999999998,62.0,,PSI-25,experiment,microgravity
Bhattacharjee,B3,2/19/2014,50,148,100 micron film 2 cm wide,2,47,2,50,253,22.2,21.8,0.43,0.49,12.0,19.0,PMMA,sheet,0.1,2.0,,,,,False,1.0,2.0,2.0,2.0,,False,False,False,False,False,False,False,False,0.3999999999999986,47.0,253.0,PSI-25,experiment,microgravity
Bhattacharjee,B4,2/19/2014,50,159,300 micron PMMA film 2 cm wide,2,61,5,50,137,22.2,22.2,0.44,0.51,-1.0,10.0,PMMA,sheet,0.3,2.0,,,,,False,1.0,5.0,5.0,5.0,,False,False,False,False,False,False,False,True,0.0,61.0,137.0,PSI-25,experiment,microgravity
Bhattacharjee,B5,2/19/2014,50,156,200 micron 2 cm wide,2,59,5,50,206,22.2,21.9,0.43,0.43,0.0,12.0,PMMA,sheet,0.2,2.0,,,,,False,1.0,5.0,5.0,5.0,,False,False,False,False,False,False,False,False,0.3000000000000007,59.0,206.0,PSI-25,experiment,microgravity
Bhattacharjee,B6,7/7/2014,188,153m,2 cm 0.1 mm PMMA film,2,0.9   1.3   2.75,3 5 approaching 10,10,80,21.0,20.9,0.33,0.41,0.0,0.3,PMMA,sheet,0.1,2.0,,,,,False,3.0,3.0,3.0,10.0,False,False,False,False,False,False,False,False,False,0.10000000000000142,,80.0,PSI-25,experiment,microgravity
Bhattacharjee,B7,2/19/2014,50,161,400 micron film 2 cm wide,2,47,2,50,84,22.2,22.1,0.45,0.51,1.0,17.0,PMMA,sheet,0.4,2.0,,,,,False,1.0,2.0,2.0,2.0,,False,False,False,False,False,False,False,False,0.09999999999999787,47.0,84.0,PSI-25,experiment,microgravity
Bhattacharjee,B8,7/7/2014,188,157m,2 cm 0.2 mm PMMA film,0,1.4    incr to 10.0,10 max,10,226,21.0,20.5,0.33,0.58,0.0,131.0,PMMA,sheet,0.2,2.0,,,,,False,1.0,10.0,10.0,10.0,,False,False,False,False,False,False,False,False,0.5,,226.0,PSI-25,experiment,microgravity
Bhattacharjee,B9,7/7/2014,188,154m,2 cm 0.1 mm PMMA film,2,0.6   0.35,2 <1,10,45,21.0,20.9,0.33,0.35,0.0,10.0,PMMA,sheet,0.1,2.0,,,,,False,2.0,2.0,1.0,2.0,True,False,False,False,False,False,False,False,False,0.10000000000000142,,45.0,PSI-25,experiment,microgravity
Bhattacharjee,B10,7/7/2014,188,173m,1 cm 0.2 mm PMMA film,2,1.7 (52)   1.25   0.9   0.6   0.4   0.35,5 4 3 2 1,10,123,21.0,20.8,0.33,0.44,0.0,23.0,PMMA,sheet,0.2,1.0,,,,,False,5.0,5.0,1.0,5.0,True,False,False,False,False,False,False,False,False,0.1999999999999993,,123.0,PSI-25,experiment,microgravity
Bhattacharjee,B11,7/7/2014,188,158m,2 cm 0.2 mm PMMA film,2,2.5 (59)   1.3   0.7   0.5   0.35,5 3 1 <1,10,131,21.0,20.7,0.33,0.47,0.0,46.0,PMMA,sheet,0.2,2.0,,,,,False,4.0,5.0,1.0,5.0,True,False,False,False,False,False,False,False,False,0.3000000000000007,,131.0,PSI-25,experiment,microgravity
Bhattacharjee,B12,2/19/2014,50,160,300 micron film 2 cm wide,2,46.5,2,50,160,22.2,22.1,0.51,0.56,17.0,33.0,PMMA,sheet,0.3,2.0,,,,,False,1.0,2.0,2.0,2.0,,False,False,False,False,False,False,False,False,0.09999999999999787,46.5,160.0,PSI-25,experiment,microgravity
