test_id,flex_identifier,test_date,test_gmt,fuel,pressure_mmhg,o2_frac,n2_frac,co2_frac,he_frac,d0_mm,dext_mm,burning_rate_mm2_s,burn_time_s,test_end,burn_time_s_approx,pressure_atm,extinction,investigation,source,gravity
2,20CAL10,3/5/2009,19:20:06,Methanol,762.0,0.21,0.79,0.0,0.0,1.86,0.94,0.6,5.0,Extinction,False,1.0026315789473683,1,PSI-69,experiment,microgravity
3,20CAL12,3/5/2009,21:17:46,Methanol,764.2,0.21,0.79,0.0,0.0,1.61,0.92,0.58,3.2,Extinction,False,1.0055263157894738,1,PSI-69,experiment,microgravity
4,30CAL02,3/31/2009,17:16:18,Methanol,760.0,0.21,0.79,0.0,0.0,2.06,,0.6,7.64,Extinction,False,1.0,1,PSI-69,experiment,microgravity
5,30CAL03,3/31/2009,19:00:48,Methanol,760.0,0.21,0.79,0.0,0.0,1.92,0.81,0.48,6.34,Extinction,False,1.0,1,PSI-69,experiment,microgravity
6,40CAL01,3/31/2009,20:05:49,Methanol,760.0,0.21,0.79,0.0,0.0,2.54,1.53,0.51,9.6,Extinction,False,1.0,1,PSI-69,experiment,microgravity
10,256F002,5/22/2009,14:53:27,Methanol,2319.7,0.21,0.09,0.7,0.0,3.86,,0.37,13.6,Extinction,False,3.052236842105263,1,PSI-69,experiment,microgravity
11,256R001,5/22/2009,15:33:47,Methanol,2318.8,0.21,0.09,0.7,0.0,3.03,,0.4,16.5,Extinction,False,3.0510526315789477,1,PSI-69,experiment,microgravity
13,256R002,6/25/2009,15:33:05,Methanol,2074.2,0.21,0.09,0.7,0.0,2.59,,0.49,10.8,Extinction,False,2.7292105263157893,1,PSI-69,experiment,microgravity
14,256F007,6/29/2009,12:26:06,Methanol,2055.6,0.21,0.09,0.7,0.0,3.7,,,11.3,Extinction,False,2.704736842105263,1,PSI-69,experiment,microgravity
15,256F008,6/29/2009,13:56:06,Methanol,2066.6,0.21,0.09,0.7,0.0,4.42,,,23.1,Extinction,False,2.7192105263157895,1,PSI-69,experiment,microgravity
16,256F009,6/29/2009,15:34:58,Methanol,2072.1,0.21,0.09,0.7,0.0,1.66,1.0,0.53,3.4,Extinction,False,2.7264473684210526,1,PSI-69,experiment,microgravity
18,248F001,7/1/2009,16:28:56,Heptane,1553.8,0.21,0.09,0.7,0.0,2.74,1.77,0.61,8.1,Extinction,False,2.0444736842105264,1,PSI-69,experiment,microgravity
20,192F001,10/24/09,14:09:04,Methanol,539.5,0.34,0.66,0.0,0.0,3.4,1.56,0.53,17.4,Completion,False,0.7098684210526316,0,PSI-69,experiment,microgravity
25,191R001,11/9/2009,11:42:23,Methanol,537.3,0.3,0.7,0.0,0.0,2.6,0.59,0.65,10.3,Completion,False,0.7069736842105263,0,PSI-69,experiment,microgravity
29,178R001,11/13/09,13:11:23,Methanol,766.9,0.3,0.7,0.0,0.0,2.57,,0.74,10.4,Completion,False,1.009078947368421,0,PSI-69,experiment,microgravity
30,178F001,11/13/09,14:03:46,Methanol,769.2,0.3,0.7,0.0,0.0,3.26,1.32,0.59,15.6,Extinction,False,1.0121052631578948,1,PSI-69,experiment,microgravity
32,182F002,11/13/09,19:04:33,Heptane,771.0,0.3,0.7,0.0,0.0,3.07,,0.68,14.0,Completion,False,1.0144736842105264,0,PSI-69,experiment,microgravity
33,177R002,11/27/09,10:02:15,Methanol,764.5,0.21,0.79,0.0,0.0,2.62,1.25,0.48,11.4,Extinction,False,1.005921052631579,1,PSI-69,experiment,microgravity
34,177F001,11/27/09,11:15:38,Methanol,767.7,0.21,0.79,0.0,0.0,3.89,2.0,0.44,27.3,Extinction,False,1.0101315789473684,1,PSI-69,experiment,microgravity
35,181F001,11/27/09,13:01:24,Heptane,768.1,0.21,0.79,0.0,0.0,3.85,3.34,0.43,8.9,Extinction,False,1.010657894736842,1,PSI-69,experiment,microgravity
36,190R002,12/15/09,10:39:35,Methanol,539.0,0.2,0.8,0.0,0.0,2.4,1.67,0.45,7.1,Extinction,False,0.7092105263157895,1,PSI-69,experiment,microgravity
45,206R001,1/11/2010,10:54:25,Methanol,768.3,0.3,0.7,0.0,0.0,2.42,1.01,0.73,6.6,Extinction,False,1.0109210526315788,1,PSI-69,experiment,microgravity
47,209F001,1/12/2010,15:48:17,Heptane,770.1,0.21,0.79,0.0,0.0,3.36,,0.5,17.1,Completion,False,1.0132894736842106,0,PSI-69,experiment,microgravity
