investigation,document,page,text
PSI-115,DataOrganizationDocument.pdf,1,"PSI Data Organization Document Utilization of the Smoke Aerosol Measurement Experiment Data for Advanced Modeling and Simulation of Smoke Generation in Micro-Gravity To gain an initial understanding of this experiment, refer to the Final Report, located on “Pub and Docs” tab of this Investigation Record. The simulation data is organized in PSI in “Experiment Data” on the “Data” tab, in two high level categories: • Earth Gravity Figure Data • Microgravity Figure Data The simulation data is further categorized into specific cases: • Case 1 with inlet velocity: Uo = 0:08 m/s • Case 2 with inlet velocity: Uo = 0:1 m/s Additional test parameters and conditions are located in Table 3 of the Final Report: Where EG = Earth Gravity; MG = Microgravity; Uo = Inlet Velocity; go = Gravitational Acceleration; Re = Reynolds number; Fr = Froude number. In addition to the four base cases listed in Table 3 of the Final Report, and as shown above, the data is further categorized as the researcher examines the aerosol development sensitivity to: • Particle settling • Thermophoresis • The flow geometry For this purpose, a series of additional cases, defined in Table 3 of the Final Report, and as shown above, are constructed by modifying the setup of Case 1MG and/or Case 1EG."
PSI-115,DataOrganizationDocument.pdf,1,"• Case1-Earth Gravity-NS: (where NS stands for “no settling”) is identical to Case1-Earth Gravity except the settling mechanism has been neglected. • Case1-Earth Gravity-R: (where R stands for “rotated”) is identical to Case1-Earth Gravity except the heated vapor source has been rotated 90o. • Case1-Microgravity-NT: (where NT stands for “no thermophoresis”) is identical to Case1Microgrativy except the thermophoresis transport mechanism has been neglected. • Cases1Microgravity-R: (where R stands for “rotated”) is identical to Case1-Microgrativy except the heated vapor source has been rotated 90o. In all cases, data is collected and presented at a time of t = 7 seconds."
PSI-115,NNX17AF08A_FinalReport.pdf,2,"Executive Summary 3 Introduction 4 Formulation 5 Fluid dynamics Particle ﬁelds Nucleation Coagulation Condensation and evaporation DBP vapor balance Results 9 Flow conﬁguration Physical conditions Numerical speciﬁcations Physical Assumptions Fluid ﬂow, temperature, and mass fraction Particle nucleation, number density, and size Effect of particle settling Effect of thermophoresis Effect of heated vapor source orientation Effect of ﬂow speed Smoke visualization Summary 15 UTILIZATION OF THE SAME DATA FOR ADVANCED MODELING AND SIMULATION OF SMOKE GENERATION IN MICROGRAVITY 2 SEAN C. GARRICK"
PSI-115,NNX17AF08A_FinalReport.pdf,3,"1 Executive Summary This work examines how microgravity conditions on spacecraft change the development of smoke aerosol relative to smoke on Earth. We perform simulations of particle formation and growth with the goal of capturing smoke dynamics similar to those realized in experiments performed aboard the International Space Station. The simulations provide detailed information about ﬂuid/thermal/particle interactions that cannot be acquired experimentally on orbit. A surrogate material, dibutyl pthalate, is expelled from a hot surface in a rectangular chamber while ambient air is blown through the domain, convecting the developing smoke downstream. The study considers two ﬂow rates, two geometric conﬁgurations, and the isolated effects of gravitational particle settling and thermophoresis. In Earth gravity, buoyancy produces asymmetries in all ﬁelds of interest and ampliﬁes vapor-to-particle conversion near room temperature surfaces at the upper boundary of the simulation domain. Gravitational settling removes large particles from the aerosol, limiting the maximum particle size to ∼ 40 µm and the mode particle size to∼ 5µm. Without buoyancy or settling, the microgravity smoke plume is spatially symmetric and contains very large particles (> 40µm). A bimodal particle size distribution results in microgravity when prominent recirculation occurs behind the hot vapor source."
PSI-115,NNX17AF08A_FinalReport.pdf,3,"The distribution is comprised of large particles (> 20µm) associated with long residency time, vapor rich, high temperature recirculation, and smaller particles (< 10µm) that originate farther downstream of the hot vapor source. A distinct large particle mode does not appear in microgravity ﬂows that do not have prominent high temperature recirculation, although the aerosol still contains large particles. Without recirculation, the mode particle diameter in microgravity is∼ 10µm, or approximately twice that of terrestrial smoke. Results show that future experiments should carefully consider and quantify surface interactions and the presence of hot, recirculating vapor, in order to control geometry-dominated features of the particle size distribution.
A manuscript based on this work will be submitted to the journal Aerosol Science & Technology. The ﬁnal document, when accepted, will be provided to NASA.
UTILIZATION OF THE SAME DATA FOR ADVANCED MODELING AND SIMULATION OF SMOKE GENERATION IN MICROGRAVITY 3 SEAN C. GARRICK"
PSI-115,NNX17AF08A_FinalReport.pdf,4,"2 Introduction Gravity affects the evolution of aerosols by introducing buoyancy and particle settling. Buoyant convection modiﬁes the time-temperature history of the aerosol, as well as the spatial distribution of particles, condensing vapor, and thermal energy. Gravity also causes the settling of large particles out of the aerosol, provided the chemistry and vapor concentrations allow for the generation of large particles with appreciable settling velocities. These factors combine to increase particle residency times in high temperature, vapor rich regions in microgravity systems relative to terrestrial or Earth gravity systems (Urban et al., 1998, 2005). As a result, smoke particles produced in microgravity tend to be larger than those produced on Earth (Ku et al., 1995, Urban et al., 1998). Measurements suggest microgravity smoke particles to be 2− 8 times larger than terrestrial smoke particles (Urban et al., 2005). Moreover, large particles (not only smoke particles) persist in microgravity, with mass concentrations of particles with diameter > 100 µm measured at ten-times that of a nominal terrestrial environment (Liu et al., 1991). Total particulate mass concentrations are also more than ﬁve times greater in microgravity (Liu et al., 1991)."
PSI-115,NNX17AF08A_FinalReport.pdf,4,"Understanding gravitational effects is of practical interest because it assists in the design of mission-critical smoke detection systems for use in microgravity environments, including the International Space Station (Mulholland et al., 2015); systems developed and calibrated for terrestrial use may not perform correctly in microgravity because of inappropriate particle size sensitivities (Urban et al., 2005).
The present work uses numerical simulation to explore the inﬂuence of gravity on pyrolysis smoke growth from a fundamental perspective. We simulate the formation and growth of dibutyl-phthalate (DBP) particles in Earth gravity and microgravity environments. We utilize direct numerical simulation via a Navier-Stokes nodal approach. The smoke originates from pyrolysis vapor expelled from a heated sample in a geometry similar to that considered in the SAME experiments (Mulholland et al., 2015). The intention of this effort is to quantify the differences between microgravity and Earth gravity smoke, and to identify the ﬂuid dynamic mechanisms that cause the differences. This study considers two crossﬂow velocities of sufﬁciently low speed that buoyancy cannot be neglected in the presence of gravity.
Simulations are presented to assess the dependence of particle size distributions on thermophoresis, particle settling, and ﬂow geometry."
PSI-115,NNX17AF08A_FinalReport.pdf,4,"The paper is organized as follows: we introduce the simulation and modeling methodology, followed by a description of the ﬂow geometry and the parameter space under consideration; we then examine differences in the wake geometry attributable to buoyancy for the lower of two ﬂow speeds; next, we present and discuss instantaneous scalar ﬁelds as a means to describe particle accumulation and growth in the buoyant and non-buoyant wakes that form downstream of the hot vapor source; after developing an understanding of how the particle ﬁelds interact with the ﬂuid dynamics for the low speed cases, we consider the effects of thermophoresis, particle settling, ﬂow geometry, and the higher ﬂow speed; we conclude with a discussion of the results, summarize ﬁndings relevant to future experimentation, and outline directions for future work.
UTILIZATION OF THE SAME DATA FOR ADVANCED MODELING AND SIMULATION OF SMOKE GENERATION IN MICROGRAVITY 4 SEAN C. GARRICK"
PSI-115,NNX17AF08A_FinalReport.pdf,5,"3 Formulation 3.1 FLUID DYNAMICS The gaseous systems are described by the compressible mass, momentum, and energy equations, considered here in dimensionless form. Conservation of mass is given by ∂ρ⋆ ∂t⋆ + ∂ρ⋆u⋆ i ∂x⋆ i = 0, (1) whereρ⋆ is the density andu⋆ i is the velocity (superscript asterisks denote dimensionless variables and subscripts denote vector components). Conservation of momentum is given by ∂ρ⋆u⋆ i ∂t⋆ + ∂ρ⋆u⋆ ju⋆ i ∂x⋆ j =−∂P⋆ ∂x⋆ i + 1 Re ∂τ⋆ ij ∂x⋆ j + 1 Fr 2 (ρ⋆− 1), (2) where P⋆ is the pressure, Re is the Reynolds number, τ⋆ ij is the viscous stress tensor, and Fr is the Froude number. The viscous stress tensor is deﬁned by τ⋆ ij =µ⋆ ( ∂u⋆ j ∂x⋆ i + ∂u⋆ i ∂x⋆ j ) − 2µ⋆ 3 ∂u⋆ k ∂x⋆ k δij, (3) where µ⋆ is the dynamic viscosity and δij is the Kronecker delta. The ﬂuid is deﬁned as an ideal gas with the corresponding equation of state, P⋆ =ρ⋆ αR⋆ αT⋆, (4) whereT⋆ is the temperature andR⋆ α is the gas constant of speciesα (summation is implied by repeated subscript indicies)."
PSI-115,NNX17AF08A_FinalReport.pdf,5,"Conservation of total energy is given by ∂ρ⋆E⋆ ∂t⋆ + ∂ρ⋆u⋆ jH⋆ ∂x⋆ j = µ⋆ (γ− 1)M 2RePr ∂q⋆ j ∂x⋆ j + 1 Re ∂u⋆ iτ⋆ ij ∂x⋆ j + ∂ ∂x⋆ j ( ρ⋆h⋆ α ReSc ∂Yα ∂x⋆ j ) , (5) whereE⋆ is the speciﬁc total energy,H⋆ is the speciﬁc total enthalpy,γ is the ratio of speciﬁc heats,M is the Mach number, Pr is the Prandtl number, q⋆ j is the heat ﬂux, Sc is the Schmidt number, Yα is the mass fraction of speciesα, andh⋆ α is the speciﬁc enthalpy of speciesα. The heat ﬂux is computed from Fourier’s law, q⋆ j =−k⋆∂T⋆ ∂x⋆ j , (6) where k⋆ is the thermal conductivity and T⋆ is the temperature. The speciﬁc enthalpy is computed according to h⋆ =Yα ( CpαT +hf α ) /ho, (7) wherehf α is the enthalpy of formation of species α, ho is a reference enthalpy, and Cpα is the speciﬁc heat at constant pressure. The speciﬁc total energy is computed from E⋆ = (1 2uiui +Yα ( CvαT +ef α )) /ho, (8) whereef α is the energy of formation, and Cvα is the speciﬁc heat at constant volume. The speciﬁc total enthalpyH⋆ is analogously deﬁned by H⋆ = (1 2uiui +Yα ( CpαT +hf α )) /ho, (9) whereCpα is the speciﬁc heat at constant pressure."
PSI-115,NNX17AF08A_FinalReport.pdf,5,"Species transport is given by ∂ρ⋆Yα ∂t⋆ + ∂ρ⋆Yαu⋆ j ∂x⋆ j = ∂ ∂x⋆ j ( ρ⋆ ReSc ∂Yα ∂x⋆ j ) + ˙ω, (10) where ˙ω accounts for the conversion of species α vapor to the particle phase via nucleation and condensation.
UTILIZATION OF THE SAME DATA FOR ADVANCED MODELING AND SIMULATION OF SMOKE GENERATION IN MICROGRAVITY 5 SEAN C. GARRICK"
PSI-115,NNX17AF08A_FinalReport.pdf,6,"3.2 P ARTICLE FIELDS Particles are transported in space by convection, diffusion, thermophoresis, and gravitational settling.
Their size is affected by nucleation, coagulation, condensation, and evaporation. This work utilizes a nodal approximation to the general dynamic equation (Prakash et al., 2003), where the particle size distribution is discretized by a set of nodes k, each associated with a particle diameter dk. The spatiotemporal transport of each particle size nodek is considered with respect to its mass fractionYk =ρk/ρ, ∂ρ⋆Yk ∂t⋆ + ∂ρ⋆Yk ( u⋆ j +utf⋆ j,k +uss⋆ j,k ) ∂x⋆ j = ∂ ∂x⋆ j ( ρ⋆ ReSck ∂Yk ∂x⋆ j ) + ˙ωk, (11) whereutf⋆ j,k is thej component of the thermophoretic velocity of particle nodek,uss⋆ j,k is thej component of the Stokes settling velocity of particle nodek,Sck is the particle Schmidt number, and ˙ωk is a source term that accounts for transport in size space (this term will be deﬁned in Section 2.6). The particle diffusivity is deﬁned by Dk = KbTCk 3πµdk , (12) where Kb is Boltzmann’s constant,Ck is the Cunningham correction factor, and dk is the diameter of particles in nodek. The Cunningham correction factor is taken as Ck = 1 +Knk (1.142 + 0.558exp (−0.999/Knk)) (13) whereKnk is the Knudsen number of particles in nodek Knk = 2λ/dk."
PSI-115,NNX17AF08A_FinalReport.pdf,6,"(14) The mean free path in airλ is computed from λ =λo (Patm P )( T T1 )2(T1 +Ts T +Ts ) (15) where Patm is the atmospheric pressure and the model parameters are Ts = 110.4K, T1 = 296.15K, andλo = 67.3nm (Otto et al., 1999).
The Talbot equation deﬁnes the thermophoretic velocity, utf⋆ j,k =−ktf µ ρUoT ∂T ∂xj , (16) where ktf = 2.294Ck (k/kp + 2.2Knk) (1 + 3.493Knk) (1 + 2k/kp + 4.4Knk), (17) andkp is the thermal conductivity of the particulate phase (Pyyk¨onen and Jokiniemi, 2000, Talbot et al., 1980). The dimensionless Stokes settling velocity,uss⋆ j,k , is deﬁned by uss⋆ j,k = (ρc−ρ)gjd2 k 18µUo , (18) wheregj is the gravitational acceleration in thej direction.
The source term ˙ωk controls transport in size space due to nucleation, coagulation, condensation, and evaporation, ˙ωk = (ωN k +ωc k +ωs k)× Lomk Uoρo , (19) where mk is the mass of a particle in node k, ωN is the number density change due to nucleation, ωc is the number density change due to coagulation, and ωs is the number density change due to the combined effects of condensation and evaporation.
UTILIZATION OF THE SAME DATA FOR ADVANCED MODELING AND SIMULATION OF SMOKE GENERATION IN MICROGRAVITY 6 SEAN C. GARRICK"
PSI-115,NNX17AF08A_FinalReport.pdf,7,"3.3 NUCLEATION We consider the classical nucleation expression modiﬁed by a self-consistent correction proposed by Girshick and Chiu (1990). The nucleation rate is scaled by a material-speciﬁc enhancement factor,cnuc, resulting in a nucleation rateJ deﬁned by J =cnuc (ρY )2 ρcmm √ 2σ πmm 1 S exp ( 3 √ 36πv 2mσ kBT − πσd 2 c 3kBT ) , (20) wheredc is the critical diameter of nucleating particles given by dc = 4σvm kBT ln(S). (21) The nucleation rate depends on the massmm and volumevm of a vapor molecule, the surface tension σ, and the saturation ratio S. Particles nucleating with size dc do not correspond exactly to any of the discretized size nodes. Following Prakash et al. (2003), the nucleated particles are placed in the nodek with a diameterdk that is minimally larger thandc. This procedure results in the nucleation source term for nodek, ωN k = d3 c d3 k J."
PSI-115,NNX17AF08A_FinalReport.pdf,7,"(22) The nucleation source term for all other nodes is zero.
3.4 COAGULATION The rate of change of particles in size classk due to coagulation is deﬁned by ωk c = 1 2 Ns∑ i=2 Ns∑ j=2 χijkβijQiQj−Qk Ns∑ i=2 βikQi (23) whereQi is the number density of nodei,βij is the collision frequency function corresponding to nodes i andj, andχijk is the mass splitting function deﬁned by (Prakash et al., 2003) χijk =    vk+1−(vi+vj ) vk+1−vk if vk≤ vi + vj < vk+1 (vi+vj )−vk−1 vk−vk−1 if vk−1≤ vi + vj < vk 0 else.
(24) The Dahneke coefﬁcients are used to extend the near-continuum frequency function βco to all relevant values ofKn (Otto et al., 1999). The collision coefﬁcients are given by βij =βco 1 +KnD 1 + 2KnD + 2Kn 2 D , (25) whereβco is the near-continuum collision frequency function, βco = 2kBT 3µ ( v1/3 i +v1/3 j )( Ci v1/3 i + Cj v1/3 j ) . (26) The enhancement Knudesen numberKnD is deﬁned as KnD = 4Dij cijdij , (27) whereDij =Di +Dj anddij = di +dj andcij = √ c2 i +c2 j. The mean molecular speed c is given by ck = √ 8kBT/πmk.
UTILIZATION OF THE SAME DATA FOR ADVANCED MODELING AND SIMULATION OF SMOKE GENERATION IN MICROGRAVITY 7 SEAN C. GARRICK"
PSI-115,NNX17AF08A_FinalReport.pdf,8,"3.5 CONDENSATION AND EVAPORATION The saturation monomer number density with respect to particles of sizedk is computed according to Qs 1,k = Ps kbT exp ( 4σMW RTρcdk ) , (28) wherePs is the saturation pressure and MW is the molecular weight of the condensing species. Using this saturation concentration, the rate of change of particles in size class k due to condensation and evaporation is given by (Prakash et al., 2003) ωk s =    vm vk−vk−1 β1,k−1 ( Q1−Qs 1,k−1 ) Qk−1 ifQ1 >Q s 1,k−1 − vm vk+1−vk β1,k+1 ( Q1−Qs 1,k+1 ) Qk+1 ifQ1 <Q s 1,k+1 − vm vk+1−vk β1,k ( Q1−Qs 1,k ) Qk ifQ1 >Q s 1,k vm vk−vk−1 β1,k ( Q1−Qs 1,k ) Qk ifQ1 <Q s 1,k , (29) whereQ1 is the number density of monomers andQk is the number density of particles of size classk.
3.6 DBP VAPOR BALANCE Nucleation, condensation, and evaporation are interactions between the vapor and particle phases. The source term in the vapor transport equation, Eqn. (10), is given by ˙ω =− ( d3 c d3m J + N∑ k=2 vk vm ωk s ) × Lomm Uoρo (30) where the ﬁrst term on the right-hand-side is the sink due to nucleation and the second term on the right-hand-side is the source associated with condensation and evaporation (Prakash et al., 2003).
UTILIZATION OF THE SAME DATA FOR ADVANCED MODELING AND SIMULATION OF SMOKE GENERATION IN MICROGRAVITY 8 SEAN C. GARRICK"
PSI-115,NNX17AF08A_FinalReport.pdf,9,"4 Results 4.1 FLOW CONFIGURATION We simulate the formation and growth of DBP particles in air ﬂowing over a heated sample that expels DBP vapor. The simulation mimics the smoldering or pre-conﬂagration stage of a ﬁre studied in experiments performed aboard the ISS (Mulholland et al., 2015). A schematic of the computational domain is shown in Fig. 1. Room temperature air enters a long chamber and ﬂows over a heated rectangular sample. Vapor released from the sample nucleates into particles that grow and are subsequently collected downstream for analysis. The ﬂow is laminar and steady, allowing the two-dimensional representation to present physical characteristics largely representative of the SAME experiments (Mulholland et al., 2015). DBP is used as the surrogate material because its properties are known and its use in modeling is well-established (unlike the materials used in the SAME experiments).
4.2 PHYSICAL CONDITIONS Constant ﬂuid properties for air and DBP are provided in Table 1, and variable DBP properties are provided in Table 2. The enhancement factor required for the nucleation expression, Eqn. (20), is deﬁned for DBP ascnuc = 3.2× 10−4 (Nguyen et al., 1987, Pyyk¨onen and Jokiniemi, 2000).
The thickness of the heated DBP source serves as the reference length scale,Lo = 0.0044 m (illustrated in Fig."
